meal_name,Proteins,Carbs,Fats,Calories,pseudo_target
Boiled Low-Carb Snack,139.49,348.88,92.94,2131.0,0.75062233
Raw Vegan Dinner,139.49,348.88,92.94,2191.0,0.7505898
Boiled Paleo Lunch,139.49,348.88,92.94,1910.0,0.7505533
Baked Balanced Snack,139.49,348.88,92.94,2177.0,0.7505419
Raw Vegetarian Dinner,139.49,348.88,92.94,2286.0,0.7504864
Steamed Vegetarian Breakfast,139.49,348.88,92.94,2069.0,0.7504638
Baked Vegan Lunch,139.49,348.88,92.94,1948.0,0.75039405
Steamed Keto Lunch,139.49,348.88,92.94,2111.0,0.75020957
Boiled Balanced Breakfast,139.49,348.88,92.94,1933.0,0.7500786
Grilled Keto Dinner,139.49,348.88,92.94,1757.0,0.75006837
Roasted Balanced Lunch,139.49,348.88,92.94,2280.0,0.7499872
Baked Paleo Dinner,139.49,348.88,92.94,2372.0,0.7499872
Raw Balanced Dinner,139.49,348.88,92.94,2136.0,0.74998665
Baked Vegan Breakfast,139.49,348.88,92.94,2122.0,0.74998665
Roasted Balanced Lunch,139.49,348.88,92.94,2012.0,0.74996895
Steamed Vegan Breakfast,139.49,348.88,92.94,2321.0,0.74988323
Baked Keto Snack,139.49,348.88,92.94,2139.0,0.74988323
Baked Keto Snack,139.49,348.88,92.94,2166.0,0.74988323
Boiled Balanced Lunch,139.49,348.88,92.83,1296.0,0.74986184
Baked Low-Carb Dinner,139.49,348.88,92.94,2206.0,0.74985605
Grilled Balanced Snack,139.49,348.88,92.94,2256.0,0.7498505
Steamed Low-Carb Dinner,139.49,348.88,92.94,2118.0,0.7498505
Baked Paleo Dinner,139.49,348.88,92.94,1710.0,0.7498313
Fried Balanced Snack,139.49,348.88,92.94,2090.0,0.7498313
Raw Balanced Breakfast,139.49,348.88,92.94,2057.0,0.7496116
Boiled Keto Dinner,139.49,346.06,92.94,1186.0,0.7495103
Steamed Vegetarian Lunch,139.49,348.88,92.94,1940.0,0.7495042
Boiled Paleo Breakfast,139.1,348.83,92.94,1279.0,0.7494183
Grilled Low-Carb Breakfast,139.49,348.88,92.94,2604.0,0.749244
Roasted Vegan Snack,139.49,348.88,92.94,2255.0,0.74922174
Fried Keto Dinner,139.49,348.27,92.54,1323.0,0.7491963
Fried Low-Carb Breakfast,139.42,347.06,92.81,1417.0,0.7490255
Baked Keto Snack,139.49,348.88,92.94,1943.0,0.7490133
Steamed Paleo Breakfast,139.49,348.88,92.94,1086.0,0.74898565
Boiled Keto Snack,139.49,348.17,92.94,1398.0,0.74898005
Steamed Vegan Dinner,139.45,348.88,92.84,1314.0,0.7488741
Raw Low-Carb Breakfast,139.49,347.86,92.94,1154.0,0.7488641
Raw Vegetarian Breakfast,139.19,346.64,92.94,1315.0,0.74886376
Steamed Keto Breakfast,139.49,348.88,92.94,2047.0,0.74885684
Baked Balanced Breakfast,139.49,348.88,92.94,1804.0,0.74885035
Fried Vegetarian Dinner,139.49,348.88,92.94,2584.0,0.7488427
Baked Keto Snack,139.49,348.88,92.7,1250.0,0.7488341
Raw Paleo Breakfast,139.49,348.88,92.94,1930.0,0.7488185
Boiled Keto Snack,139.49,348.88,92.94,1986.0,0.7487771
Fried Vegan Snack,139.49,348.88,92.94,2458.0,0.7482828
Grilled Vegan Breakfast,138.95,348.88,92.82,1257.0,0.7482641
Roasted Paleo Lunch,139.49,348.88,92.94,2285.0,0.74825513
Grilled Balanced Dinner,139.49,348.88,92.94,1885.0,0.74824715
Boiled Low-Carb Dinner,139.49,348.88,92.94,2339.0,0.7481899
Fried Vegetarian Lunch,139.49,348.88,92.94,2145.0,0.7480881
Fried Vegan Lunch,139.49,348.88,92.94,2284.0,0.7480503
Baked Balanced Lunch,139.49,348.88,92.94,2518.0,0.74803525
Roasted Paleo Lunch,139.49,348.88,92.94,2069.0,0.7478137
Roasted Low-Carb Dinner,139.49,348.88,92.62,2132.0,0.7475189
Steamed Vegan Lunch,139.49,348.08,92.94,1227.0,0.74743056
Grilled Vegan Snack,139.49,347.48,92.71,1316.0,0.74729127
Raw Vegetarian Lunch,139.49,348.88,92.94,1885.0,0.7472626
Roasted Low-Carb Dinner,139.49,348.88,92.94,1729.0,0.74717736
Raw Low-Carb Lunch,139.49,348.88,92.94,2243.0,0.7471176
Boiled Low-Carb Snack,139.49,348.88,92.94,2212.0,0.7470806
Roasted Paleo Snack,138.83,348.88,92.91,1241.0,0.7470502
Steamed Vegan Snack,139.43,348.88,92.93,1409.0,0.74702054
Steamed Vegetarian Dinner,139.49,346.17,92.61,1237.0,0.74702
Boiled Vegetarian Snack,139.49,348.88,92.94,2587.0,0.7469302
Baked Paleo Lunch,139.49,348.88,92.94,1955.0,0.7469295
Raw Vegetarian Breakfast,139.49,348.88,92.94,2428.0,0.7468674
Roasted Paleo Breakfast,139.4,348.88,92.94,2075.0,0.7468658
Roasted Low-Carb Lunch,139.49,348.88,92.94,1727.0,0.74681306
Raw Low-Carb Lunch,139.49,348.88,92.94,2321.0,0.74677503
Fried Paleo Lunch,134.66,337.27,89.84,1880.0,0.7467512
Grilled Vegetarian Lunch,139.28,348.65,92.94,2121.0,0.7466786
Grilled Low-Carb Snack,139.19,348.69,92.94,2287.0,0.74663675
Steamed Paleo Snack,139.49,348.88,92.94,1690.0,0.74661237
Roasted Vegan Lunch,139.49,348.88,92.94,1775.0,0.7465977
Fried Low-Carb Lunch,139.49,348.88,92.94,2194.0,0.74644613
Fried Vegan Lunch,139.49,348.55,92.94,2148.0,0.7464439
Raw Vegetarian Snack,139.49,348.88,92.94,2211.0,0.7464263
Grilled Vegetarian Snack,139.38,348.88,92.94,2302.0,0.74639475
Boiled Vegetarian Dinner,139.49,348.88,92.94,2077.0,0.7463816
Grilled Balanced Lunch,139.49,348.88,92.94,1991.0,0.74637437
Baked Keto Dinner,139.49,348.88,92.94,1848.0,0.7463736
Raw Paleo Lunch,139.49,348.88,92.94,2157.0,0.74636436
Grilled Vegetarian Dinner,139.29,348.88,92.75,1960.0,0.7463628
Raw Keto Snack,139.49,348.88,92.94,1707.0,0.7463541
Boiled Paleo Snack,139.49,348.88,92.94,2058.0,0.74625194
Grilled Paleo Lunch,139.49,348.88,92.94,2341.0,0.7462266
Roasted Paleo Dinner,139.49,348.88,92.94,1871.0,0.7461355
Roasted Balanced Breakfast,139.49,348.88,92.94,1785.0,0.7461215
Raw Balanced Snack,139.49,348.88,92.94,1873.0,0.7461145
Roasted Keto Snack,139.49,348.88,92.94,1703.0,0.7461117
Roasted Paleo Snack,139.49,348.88,92.94,1782.0,0.74611074
Raw Balanced Snack,139.49,348.88,92.94,2299.0,0.7460873
Fried Vegetarian Lunch,139.49,348.88,92.94,1685.0,0.74608505
Boiled Vegan Dinner,139.49,348.88,92.94,2176.0,0.74606955
Baked Keto Lunch,139.49,348.88,92.94,1562.0,0.746066
Grilled Keto Lunch,139.49,348.88,92.94,1905.0,0.746066
Steamed Vegan Breakfast,139.49,348.88,92.94,1686.0,0.746066
Boiled Low-Carb Breakfast,139.49,348.88,92.94,1840.0,0.74606127
Grilled Keto Snack,139.49,348.88,92.94,2227.0,0.7460206
Roasted Keto Dinner,139.49,348.88,92.94,2121.0,0.7459874
Boiled Low-Carb Breakfast,139.49,348.88,92.94,2267.0,0.74597853
Raw Vegan Snack,139.49,348.86,92.94,2055.0,0.7459765
Steamed Low-Carb Dinner,138.98,348.88,92.94,2148.0,0.7459106
Raw Vegetarian Snack,139.49,348.88,92.94,2073.0,0.7459106
Baked Low-Carb Dinner,139.49,348.88,92.94,1906.0,0.7458762
Grilled Paleo Lunch,139.49,348.88,92.94,2087.0,0.74587303
Roasted Paleo Breakfast,139.49,348.88,92.94,2650.0,0.74581456
Roasted Paleo Snack,139.49,348.88,92.69,2159.0,0.7458124
Grilled Paleo Snack,139.49,348.88,92.94,2268.0,0.7458007
Baked Low-Carb Lunch,139.49,348.1,92.81,2000.0,0.74577886
Raw Vegetarian Lunch,139.49,348.88,92.94,2530.0,0.74572855
Steamed Paleo Snack,139.49,348.88,92.94,2430.0,0.7456894
Grilled Paleo Lunch,139.49,348.88,92.94,1774.0,0.7456456
Boiled Paleo Breakfast,139.49,348.88,92.94,2223.0,0.74562806
Steamed Balanced Lunch,134.41,337.27,90.15,1975.0,0.7456187
Steamed Vegetarian Dinner,139.14,347.72,92.75,1304.0,0.7454527
Raw Vegan Snack,139.49,348.88,92.94,1888.0,0.7454494
Boiled Balanced Lunch,139.49,348.88,92.94,2621.0,0.7452905
Raw Balanced Breakfast,139.49,348.88,92.94,1839.0,0.74528986
Raw Balanced Breakfast,139.49,348.88,92.94,1832.0,0.7452679
Boiled Balanced Lunch,139.49,348.88,92.94,2518.0,0.74514157
Steamed Keto Breakfast,139.49,348.88,92.94,2070.0,0.74507797
Fried Vegan Dinner,134.95,338.7,89.85,1733.0,0.74506813
Grilled Keto Lunch,134.68,337.51,89.76,1750.0,0.74492604
Fried Low-Carb Breakfast,139.49,348.88,92.94,2471.0,0.7449173
Boiled Balanced Breakfast,139.49,348.88,92.94,2574.0,0.7448718
Grilled Balanced Lunch,139.49,348.88,92.94,2586.0,0.7447765
Steamed Balanced Breakfast,139.49,348.88,92.94,2518.0,0.7447764
Baked Keto Snack,134.79,337.15,89.69,1971.0,0.7447485
Steamed Keto Lunch,139.49,348.88,92.94,2506.0,0.7447062
Fried Balanced Breakfast,139.49,347.63,92.94,1999.0,0.74469495
Baked Paleo Breakfast,139.49,348.88,92.94,2608.0,0.74466085
Steamed Keto Lunch,139.49,348.88,92.94,2492.0,0.7446576
Fried Vegan Breakfast,134.66,338.43,89.62,1635.0,0.7446537
Grilled Keto Snack,139.49,348.88,92.94,2548.0,0.7446428
Raw Keto Lunch,139.49,348.13,92.94,2166.0,0.74462754
Raw Vegetarian Snack,139.49,348.88,92.94,2714.0,0.7445836
Baked Low-Carb Lunch,139.49,348.88,92.94,2509.0,0.74458236
Baked Low-Carb Snack,139.49,348.88,92.94,2107.0,0.7445652
Steamed Low-Carb Snack,139.49,348.88,92.94,2060.0,0.74455667
Roasted Keto Breakfast,134.27,336.4,90.14,1738.0,0.7445547
Fried Low-Carb Dinner,139.49,348.88,92.94,2427.0,0.7445319
Raw Low-Carb Dinner,139.49,348.88,92.94,2477.0,0.7445319
Steamed Vegetarian Dinner,139.49,348.88,92.94,2192.0,0.74452573
Steamed Balanced Lunch,135.27,335.63,89.96,1853.0,0.7445116
Roasted Balanced Dinner,135.3,336.5,90.01,1739.0,0.7445116
Baked Vegetarian Snack,139.49,348.88,92.94,1763.0,0.74449855
Grilled Vegan Breakfast,139.49,348.88,92.94,1919.0,0.7444677
Steamed Paleo Lunch,135.7,336.59,89.76,1780.0,0.7443502
Grilled Paleo Snack,139.49,348.88,92.94,2324.0,0.7443077
Raw Keto Snack,139.49,348.88,92.94,2563.0,0.7442804
Grilled Vegan Lunch,139.49,348.88,92.94,2630.0,0.7442743
Grilled Vegan Lunch,134.92,338.71,89.73,1755.0,0.74426734
Boiled Paleo Lunch,135.3,337.0,89.96,1883.0,0.74424183
Steamed Balanced Dinner,139.49,348.88,92.81,2362.0,0.74412996
Roasted Vegetarian Snack,134.22,337.35,89.88,1993.0,0.7440963
Boiled Balanced Snack,139.49,348.88,92.94,2051.0,0.7440886
Roasted Low-Carb Lunch,134.56,337.4,90.41,1787.0,0.74407125
Roasted Low-Carb Snack,134.95,338.06,89.69,1811.0,0.74406624
Boiled Vegan Snack,135.66,337.18,90.01,1713.0,0.744059
Fried Vegetarian Breakfast,139.49,348.88,92.94,2521.0,0.7440417
Raw Vegetarian Snack,139.49,348.88,92.94,2205.0,0.7440253
Raw Vegan Breakfast,139.49,348.88,92.94,2172.0,0.7440253
Boiled Paleo Dinner,139.49,348.88,92.94,2286.0,0.7440253
Raw Balanced Dinner,139.49,348.88,92.94,2076.0,0.7440253
Grilled Vegetarian Lunch,139.49,348.88,92.94,2324.0,0.7439824
Grilled Paleo Snack,139.49,348.88,92.94,2228.0,0.7439742
Grilled Balanced Dinner,139.49,348.88,92.94,2410.0,0.7439368
Boiled Vegetarian Lunch,134.32,336.9,89.65,1807.0,0.74393487
Raw Vegetarian Snack,134.63,336.96,90.52,1864.0,0.7439187
Grilled Paleo Lunch,134.98,339.68,90.19,1793.0,0.7438745
Grilled Low-Carb Snack,134.62,337.23,89.79,1728.0,0.7438444
Baked Paleo Dinner,139.49,348.88,92.94,2140.0,0.7437113
Steamed Balanced Lunch,139.49,348.88,92.94,2136.0,0.7437113
Baked Balanced Snack,139.49,348.88,92.94,2034.0,0.7436639
Baked Vegan Dinner,139.49,348.88,92.94,2319.0,0.74352366
Steamed Low-Carb Snack,134.95,336.15,89.23,1678.0,0.7434376
Raw Balanced Dinner,139.49,348.88,92.94,2188.0,0.7433778
Baked Vegetarian Lunch,134.55,335.87,89.56,1793.0,0.7433337
Baked Low-Carb Snack,139.49,348.88,92.94,2733.0,0.74318695
Raw Low-Carb Lunch,139.49,348.88,92.94,2101.0,0.7428955
Fried Vegetarian Breakfast,134.47,338.29,89.2,1565.0,0.7428897
Fried Low-Carb Breakfast,135.05,337.73,89.9,1619.0,0.74286216
Raw Low-Carb Lunch,139.49,348.88,92.94,2088.0,0.7426929
Roasted Low-Carb Dinner,139.49,348.88,92.94,2337.0,0.7423517
Grilled Paleo Dinner,139.49,348.88,92.94,2155.0,0.74179274
Baked Paleo Dinner,139.49,348.88,92.94,2012.0,0.7414429
Baked Balanced Dinner,139.49,348.88,92.94,1715.0,0.7414128
Grilled Balanced Lunch,139.49,348.88,92.94,2289.0,0.741354
Steamed Vegetarian Dinner,139.49,348.88,92.94,1983.0,0.74118584
Fried Vegan Breakfast,139.49,348.88,92.94,2253.0,0.74110943
Grilled Paleo Breakfast,139.49,348.88,92.94,2563.0,0.7410897
Grilled Paleo Snack,139.49,348.88,92.94,2580.0,0.7410301
Roasted Vegetarian Breakfast,134.69,336.65,89.97,1645.0,0.7406547
Grilled Low-Carb Dinner,139.49,348.88,92.94,2528.0,0.7405918
Grilled Low-Carb Dinner,139.49,348.88,92.94,2620.0,0.7405918
Fried Keto Lunch,139.49,348.88,92.94,2464.0,0.7405205
Steamed Low-Carb Snack,139.49,348.88,92.94,2708.0,0.74048287
Grilled Paleo Dinner,139.49,348.88,92.94,2594.0,0.7404695
Fried Vegetarian Lunch,139.49,348.88,92.94,2441.0,0.7404337
Boiled Vegan Dinner,139.49,348.88,92.94,2675.0,0.7404337
Boiled Keto Breakfast,139.49,348.88,92.94,2466.0,0.7404337
Roasted Vegetarian Dinner,139.49,348.88,92.94,2674.0,0.7404337
Fried Vegan Breakfast,139.49,348.88,92.94,1305.0,0.74041986
Grilled Vegetarian Dinner,139.49,348.88,92.94,2566.0,0.7404108
Grilled Keto Snack,139.49,348.88,92.94,1371.0,0.74039775
Boiled Paleo Lunch,139.49,348.88,92.94,2715.0,0.74032533
Roasted Vegan Lunch,139.49,348.88,92.94,1425.0,0.7401359
Boiled Keto Snack,139.49,348.88,92.94,1314.0,0.73989165
Fried Vegan Dinner,139.49,348.88,92.94,2522.0,0.73981345
Grilled Paleo Snack,139.49,348.88,92.94,2687.0,0.7397057
Raw Keto Dinner,139.49,348.88,92.94,2650.0,0.7396842
Boiled Keto Snack,136.58,342.41,90.54,1949.0,0.7396424
Boiled Low-Carb Lunch,139.49,348.88,92.94,2509.0,0.7396288
Raw Keto Snack,139.49,348.88,92.94,2534.0,0.7395622
Raw Keto Lunch,139.49,348.88,92.94,2200.0,0.739255
Boiled Keto Snack,139.49,348.88,92.94,1451.0,0.73911065
Grilled Balanced Snack,139.49,348.88,92.94,2555.0,0.7391093
Grilled Paleo Snack,139.49,348.88,92.94,1493.0,0.73885304
Roasted Paleo Lunch,139.49,348.88,92.94,1534.0,0.7387261
Steamed Balanced Dinner,139.49,348.88,92.94,2522.0,0.7386194
Roasted Paleo Dinner,139.49,348.88,92.94,1377.0,0.73814017
Steamed Vegan Snack,139.49,348.88,92.94,1437.0,0.7381273
Grilled Paleo Breakfast,136.2,339.68,90.5,2326.0,0.7379533
Grilled Vegan Dinner,136.35,341.39,90.76,1928.0,0.7379278
Grilled Vegetarian Dinner,139.49,348.88,92.94,1343.0,0.73788893
Grilled Vegetarian Lunch,139.49,348.88,92.94,1234.0,0.7376045
Grilled Balanced Snack,139.49,348.88,92.94,2179.0,0.73744875
Roasted Vegetarian Dinner,139.49,348.88,92.94,1458.0,0.7373684
Roasted Low-Carb Snack,139.49,348.88,92.94,1474.0,0.7373684
Steamed Vegan Breakfast,139.49,348.88,92.94,1405.0,0.7373684
Baked Vegetarian Dinner,139.49,348.88,92.94,1616.0,0.7373684
Grilled Vegan Snack,139.49,348.88,92.94,1336.0,0.73735553
Fried Low-Carb Breakfast,139.49,348.88,92.94,1471.0,0.7373463
Steamed Low-Carb Dinner,139.49,348.88,92.94,1467.0,0.7373387
Fried Low-Carb Lunch,135.94,339.84,90.58,2079.0,0.73732716
Steamed Paleo Snack,139.49,348.88,92.94,2301.0,0.7373024
Baked Balanced Dinner,139.49,348.88,92.94,2530.0,0.7372686
Steamed Low-Carb Dinner,136.39,340.67,90.9,2163.0,0.7371978
Boiled Balanced Dinner,136.58,339.98,90.21,2168.0,0.7371978
Roasted Low-Carb Snack,136.88,341.6,90.79,2337.0,0.7371978
Steamed Balanced Lunch,128.51,322.62,85.16,1300.0,0.737112
Baked Keto Snack,128.84,323.56,85.76,1256.0,0.73707104
Grilled Balanced Dinner,133.61,334.16,88.96,1584.0,0.73706675
Baked Balanced Snack,128.57,322.51,85.71,1366.0,0.7370249
Grilled Paleo Dinner,139.49,348.88,92.94,1371.0,0.73700553
Grilled Paleo Dinner,139.49,348.88,92.94,1405.0,0.73700553
Roasted Keto Breakfast,139.49,348.88,92.94,1423.0,0.73697495
Fried Keto Lunch,136.97,341.07,90.51,2276.0,0.7369566
Steamed Vegetarian Lunch,139.49,348.88,92.94,1445.0,0.7369519
Baked Keto Breakfast,139.49,348.88,92.94,1126.0,0.736925
Roasted Vegetarian Dinner,137.43,341.31,91.29,2290.0,0.7369102
Grilled Vegan Breakfast,139.49,348.88,92.94,1468.0,0.73689306
Baked Balanced Breakfast,136.3,341.29,91.07,2187.0,0.7368698
Baked Keto Snack,136.4,340.92,90.69,2215.0,0.7368698
Fried Low-Carb Lunch,133.74,332.59,88.98,2174.0,0.7368344
Boiled Keto Snack,131.73,328.08,87.63,1946.0,0.73664
Fried Balanced Breakfast,139.49,348.88,92.94,1204.0,0.736608
Raw Vegetarian Snack,134.02,334.45,88.76,1785.0,0.73655736
Boiled Vegetarian Lunch,139.49,348.88,92.94,2060.0,0.7365068
Fried Low-Carb Snack,133.09,332.34,88.96,1981.0,0.73644274
Roasted Paleo Lunch,139.49,348.88,92.94,2110.0,0.736411
Boiled Vegan Snack,139.49,348.88,92.94,1367.0,0.7363071
Roasted Vegetarian Breakfast,139.49,348.88,92.94,2687.0,0.7362714
Baked Balanced Breakfast,128.95,320.83,86.19,1335.0,0.7362587
Steamed Vegetarian Lunch,139.49,348.88,92.94,1844.0,0.73620296
Steamed Balanced Snack,139.49,348.88,92.94,1790.0,0.73616093
Raw Paleo Dinner,135.19,339.48,91.35,2242.0,0.7361513
Grilled Low-Carb Lunch,132.7,327.97,87.07,1951.0,0.7361042
Boiled Balanced Lunch,134.27,333.29,88.71,1767.0,0.7360347
Boiled Vegetarian Breakfast,133.53,333.63,88.89,1543.0,0.73599505
Grilled Vegetarian Lunch,139.49,348.88,92.94,2210.0,0.7359815
Raw Low-Carb Snack,131.77,328.6,87.77,3089.0,0.7359482
Raw Low-Carb Snack,139.49,348.88,92.94,2166.0,0.73583126
Grilled Low-Carb Lunch,136.03,341.12,90.91,2121.0,0.7357858
Baked Paleo Snack,139.49,348.88,92.94,2051.0,0.73571485
Boiled Low-Carb Lunch,139.49,348.88,92.94,2294.0,0.73571044
Boiled Vegan Lunch,128.55,322.94,86.05,1430.0,0.7356967
Baked Paleo Dinner,139.49,348.88,92.94,2077.0,0.7356748
Grilled Paleo Breakfast,139.49,348.88,92.94,2216.0,0.7356748
Raw Paleo Dinner,134.01,333.24,89.1,1709.0,0.73565143
Steamed Balanced Dinner,139.49,348.88,92.94,1370.0,0.735587
Grilled Vegetarian Breakfast,139.49,348.88,92.94,2129.0,0.735503
Boiled Vegetarian Breakfast,131.83,329.73,87.3,3247.0,0.7352939
Grilled Vegetarian Dinner,128.42,320.88,85.95,1447.0,0.7352909
Fried Vegan Snack,131.9,329.21,87.72,3226.0,0.73526764
Grilled Vegan Dinner,139.49,348.88,92.94,2214.0,0.73526764
Grilled Low-Carb Dinner,131.85,328.9,87.37,2934.0,0.7352641
Steamed Vegan Breakfast,139.49,348.88,92.94,2260.0,0.735232
Boiled Keto Lunch,129.09,321.63,86.12,1465.0,0.73517793
Fried Low-Carb Lunch,128.78,321.89,86.05,1457.0,0.73516923
Fried Vegetarian Lunch,132.95,331.99,88.52,1980.0,0.7350337
Boiled Paleo Snack,128.71,322.2,85.73,1538.0,0.7350158
Steamed Low-Carb Dinner,132.74,331.71,88.41,2207.0,0.7350048
Boiled Balanced Breakfast,139.49,348.88,92.94,1962.0,0.73499167
Roasted Vegetarian Snack,139.49,348.88,92.94,2375.0,0.7349167
Roasted Vegan Dinner,139.49,348.88,92.94,2223.0,0.73488104
Raw Vegetarian Dinner,139.49,348.88,92.94,2103.0,0.73488104
