Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Calories_Burned,Sets,Reps,Burns Calories (per 30 min),E,I,S,D,R
Decline Push-ups,Strength,Triceps,Chest,Wrist Flexors,1,1964.09,5,25,327.6,0.7125878684473785,0.8722826113162021,1.0,0.7777777777777778,0.6157664306350433
Mountain Climbers,HIIT,"Rear Deltoids, Upper Back",Chest,Wrist Flexors,1,2590.29,5,21,347.91,0.8746700015613309,0.637537170239354,0.8333333333333334,0.8627450980392157,0.5380598306672726
Lateral Raises,HIIT,"Legs, Shoulders, Core",Forearms,Lower Chest,2,1570.8,5,21,368.97,0.7177758858334506,0.5985817318541939,0.3958333333333333,0.4575163398692809,0.6635743079302256
Flutter Kicks,Yoga,"Back, Core, Shoulders",Chest,Lower,1,1381.66,4,23,338.84,0.6213905323050242,0.5923511608914608,0.725,0.8366013071895425,0.4857346556144717
Deadlift,HIIT,Triceps,Back,Lower Chest,1,968.0,4,18,334.02,0.531312960649789,0.3594058764815331,0.5583333333333333,0.20261437908496732,0.7158941000885435
Lat Pulldowns,HIIT,"Lower Chest, Triceps",Shoulders,Wrist Extensors,2,1765.85,4,15,357.67,0.7334216528005838,0.6557698350014425,0.20833333333333334,0.5555555555555556,0.7945769310816295
Tricep Dips,Strength,"Upper Chest, Triceps",Back,Lower Chest,1,1977.3,4,15,355.44,0.7701886624330148,0.5625464672856368,0.4583333333333333,0.784313725490196,0.62234220088625
Lat Pulldowns,Strength,"Glutes, Hamstrings, Core",Legs,Quads,3,1940.71,5,17,363.72,0.7794298605407328,0.480312811825166,0.19444444444444445,0.764705882352941,0.8894663944963742
Renegade Rows,Cardio,"Shoulders, Upper Back",Back,Upper,2,979.2,4,17,342.13,0.5495240947005965,0.5271494779974084,0.24166666666666667,0.3464052287581699,0.5526256121609456
Rows,Cardio,"Biceps, Forearms",Chest,Middle,3,1305.6,4,23,331.98,0.5930202136671319,0.45736662073421286,0.2138888888888889,0.5686274509803922,0.7467480764763385
Tricep Extensions,HIIT,"Lower Back, Glutes",Arms,Lats,1,689.7,4,20,337.14,0.48328768665824207,0.47331553916573765,0.625,0.052287581699346365,0.8012867955715629
Squats,HIIT,Lower Abs,Back,Lower,2,1859.65,5,15,351.28,0.7390564999384623,0.40374951481104276,0.2708333333333333,0.6013071895424835,0.7874903039758612
Plyo Squats,Yoga,Core,Back,Upper,2,993.6,5,22,359.6,0.5868593008457976,0.36139532517738243,0.4166666666666667,0.5816993464052287,0.59024688444904
Thrusters,HIIT,"Obliques, Core",Chest,Posterior,1,1920.38,4,24,337.67,0.7239807259426676,0.40039192682444086,0.7583333333333333,0.6274509803921569,0.8512827275905439
Reverse Lunges,HIIT,"Shoulders, Upper Back",Shoulders,Posterior,1,2386.26,5,25,330.19,0.7999147471907542,0.39926618922708207,1.0,0.7712418300653592,0.9005677461853273
Pull-ups,Yoga,"Full Body, Core, Shoulders",Arms,Lower Chest,3,962.72,4,19,362.42,0.5864201645276893,0.15267480061953798,0.16944444444444443,0.633986928104575,0.542431311157497
Squats,Yoga,"Upper Back, Rear Deltoids",Shoulders,Lower,1,903.0,5,21,349.74,0.5497278743159115,0.6685169242231273,0.8333333333333334,0.4967320261437908,0.7422043872924075
Box Jumps,HIIT,"Lower Back, Glutes",Legs,Lower Chest,1,2245.1,4,20,337.23,0.7863424629103736,0.05991410908736842,0.625,0.7058823529411765,0.761037458519058
Leg Raises,Yoga,"Legs, Shoulders, Core",Forearms,Wrist Extensors,2,827.31,4,24,370.65,0.5763197055145658,0.36815627899888664,0.35833333333333334,0.4313725490196078,0.7637177662072767
Windshield Wipers,Yoga,Core,Chest,Lower Chest,2,914.11,5,21,347.18,0.5468311920680332,0.7692496842388432,0.3958333333333333,0.5816993464052287,0.4805856305764291
Turkish Get-ups,HIIT,"Legs, Shoulders, Core",Arms,Anterior,2,2386.26,4,21,367.09,0.8728511798283254,0.38385038005258165,0.30833333333333335,0.7712418300653592,0.6555559366999454
Push Ups,Cardio,"Shoulders, Triceps",Back,Anterior,2,1296.0,5,25,354.81,0.636276555258714,0.6875192484919614,0.4791666666666667,0.5620915032679737,0.7553957999984265
Bird Dogs,Yoga,"Legs, Shoulders, Core",Arms,Triceps,3,634.18,4,15,365.49,0.5285130244353148,0.3404167313781567,0.125,0.30718954248366004,0.7190524396627409
Face Pulls,Yoga,Full Body,Legs,Triceps,1,553.39,4,20,363.87,0.5095790203824858,0.17349638594044914,0.625,0.2287581699346405,0.7753946579234242
Tricep Extensions,HIIT,Calves,Back,Posterior,1,640.13,5,25,345.68,0.4905152560111282,0.8316760870008254,1.0,0.026143790849673224,0.46959189492580444
Bear Crawls,Cardio,"Shoulders, Triceps",Arms,Grip Strength,1,951.19,4,21,336.96,0.5338508113644117,0.6575884781425198,0.6583333333333333,0.326797385620915,0.5248203740238157
Superman,HIIT,Full Body,Arms,Wrist Flexors,1,1352.74,4,23,335.51,0.6091769869189254,0.8453966064726103,0.725,0.4117647058823529,0.5141387770659085
Tricep Dips,Yoga,"Upper Chest, Triceps",Legs,Middle,1,975.91,4,16,335.45,0.5356797774650124,0.3868585771703078,0.49166666666666664,0.6470588235294117,0.6578921694775224
Seated Rows,Strength,"Triceps, Chest",Forearms,Upper,1,2144.39,5,21,363.43,0.8185184471983444,0.8561605424517189,0.8333333333333334,0.8758169934640523,0.7648808610891638
Jumping Jacks,HIIT,Triceps,Chest,Quads,2,2696.46,4,22,361.65,0.9225025092439383,0.301969303703242,0.325,0.915032679738562,0.6293927430226884
Resistance Band Pull-Aparts,Cardio,"Lower Abs, Hip Flexors",Back,Grip Strength,2,986.5,5,19,365.17,0.5964863917560647,0.48569841995222385,0.3541666666666667,0.4117647058823529,0.3518328933252619
Step-ups,HIIT,"Upper Chest, Triceps",Legs,Middle,3,1925.59,4,25,335.59,0.7208839266625917,0.5137662023749151,0.23611111111111113,0.633986928104575,0.7387842899948076
Lat Pulldowns,Strength,"Core, Shoulders, Hips",Abs,Posterior,1,921.54,5,25,329.48,0.5132922380437972,0.9548959626198005,1.0,0.28758169934640526,0.5564008483940398
Pull-ups,Yoga,Shoulders,Arms,Grip Strength,2,811.06,5,17,338.17,0.5089555338678454,0.3838916155568553,0.3125,0.4836601307189542,0.48538341390017115
Face Pulls,Yoga,"Quadriceps, Calves, Glutes",Back,Anterior,1,896.78,5,16,350.96,0.5509281267978673,0.25225965020700214,0.625,0.5686274509803922,0.6292985536933018
Shoulder Press,Yoga,"Chest, Triceps, Shoulders",Back,Lats,1,1457.48,5,21,344.63,0.6475991578065519,0.5601357814234605,0.8333333333333334,0.9019607843137255,0.7309470436413354
