meal_name,diet_type,Calories_Final,day_label,Day,Portion,Proteins,Carbs,Fats
Fried Vegan Lunch,Paleo,1143.0,Breakfast,23,3.0,109.93,276.22,73.56
Boiled Keto Lunch,Paleo,708.3333333333333,Lunch,23,2.5,78.82,198.17,52.89
Raw Vegetarian Breakfast,Paleo,450.3125,Dinner,23,2.5,101.16,251.43,67.61
Raw Vegetarian Breakfast,Paleo,426.25,Breakfast,24,2.5,79.02,198.86,51.74
Roasted Balanced Breakfast,Paleo,1416.0,Lunch,24,3.0,104.07,260.1,69.6
Roasted Balanced Breakfast,Paleo,645.8333333333333,Dinner,24,2.5,124.29,309.88,82.67
Roasted Balanced Breakfast,Paleo,831.25,Breakfast,25,2.5,111.72,279.4,74.52
Boiled Paleo Snack,Paleo,548.75,Dinner,25,2.5,108.3,271.08,72.54
Boiled Paleo Snack,Paleo,548.75,Lunch,25,2.5,123.58,309.46,82.84
Fried Vegetarian Dinner,Paleo,1422.0,Lunch,26,3.0,82.56,207.94,55.61
Roasted Balanced Breakfast,Paleo,447.1875,Dinner,26,2.5,139.49,348.88,92.94
Fried Vegetarian Dinner,Paleo,506.25,Breakfast,26,2.5,69.71,174.44,46.5
Steamed Paleo Breakfast,Paleo,487.1875,Lunch,27,2.5,101.13,255.35,67.62
Baked Balanced Dinner,Paleo,710.625,Dinner,27,2.5,110.61,277.87,73.55
Roasted Balanced Breakfast,Paleo,1808.25,Breakfast,27,3.0,99.8,252.4,67.03
Roasted Balanced Breakfast,Paleo,733.125,Breakfast,28,2.5,78.08,194.62,52.56
Roasted Balanced Breakfast,Paleo,713.75,Lunch,28,2.5,95.57,238.04,63.68
Fried Balanced Lunch,Paleo,603.75,Dinner,28,2.5,123.11,309.16,82.31
Raw Low-Carb Dinner,Paleo,594.5833333333334,Breakfast,29,2.5,115.69,289.22,77.21
Grilled Vegetarian Snack,Paleo,724.1666666666667,Dinner,29,2.5,71.72,180.45,47.91
Grilled Paleo Dinner,Paleo,829.1666666666667,Lunch,29,2.5,88.42,219.84,58.31
Boiled Keto Breakfast,Paleo,770.625,Lunch,30,2.5,132.53,330.94,88.1
Boiled Keto Breakfast,Paleo,832.0833333333333,Breakfast,30,2.5,85.42,213.41,56.75
Roasted Vegetarian Breakfast,Paleo,667.9166666666667,Dinner,30,2.5,123.59,311.43,82.33
Steamed Vegan Dinner,Paleo,762.5,Lunch,31,2.5,110.9,277.2,74.45
Boiled Keto Snack,Paleo,835.625,Dinner,31,2.5,110.92,278.02,74.31
Steamed Paleo Breakfast,Paleo,519.6875,Breakfast,31,2.5,69.71,174.44,46.5
Boiled Balanced Breakfast,Paleo,1258.5,Dinner,32,3.0,83.5,205.89,55.68
Steamed Balanced Lunch,Paleo,1359.75,Breakfast,32,3.0,82.77,209.48,55.4
Boiled Balanced Breakfast,Paleo,700.4166666666667,Lunch,32,2.5,78.96,198.27,53.0
Raw Low-Carb Dinner,Paleo,646.25,Breakfast,33,2.5,116.27,288.46,77.08
Roasted Balanced Breakfast,Paleo,757.9166666666667,Dinner,33,2.5,112.05,277.9,74.45
Baked Vegan Dinner,Paleo,1377.75,Lunch,33,3.0,83.09,207.29,55.74
Roasted Paleo Lunch,Paleo,746.25,Breakfast,34,2.5,95.78,240.0,63.78
Steamed Vegetarian Dinner,Paleo,1484.25,Dinner,34,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,1599.0,Lunch,34,3.0,128.7,321.38,86.16
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,35,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,35,2.5,85.12,214.7,56.8
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,35,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,36,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,36,2.5,85.12,214.7,56.8
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,36,3.0,129.17,321.36,85.7
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,37,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,37,2.5,85.12,214.7,56.8
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,37,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,38,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,38,2.5,85.12,214.7,56.8
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,38,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,39,2.5,85.12,214.7,56.8
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,39,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,39,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,40,3.0,128.7,321.38,86.16
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,40,3.0,129.17,321.36,85.7
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,40,2.5,85.12,214.7,56.8
