Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,E,I,S,D,R,E_scaled,I_scaled,S_scaled,D_scaled,R_scaled
Pull-ups,HIIT,"Chest, Triceps",Shoulders,Quads,3,0.928667858672082,0.5254683688440255,,0.9281045751633985,,2.7035124016710643,0.28829114732504796,,1.9051133437271444,
Lunges,HIIT,"Core, Shoulders, Hips",Abs,Lower Chest,3,0.9160189263063083,0.8304792345348817,,0.915032679738562,,2.5955686123341226,1.7698755049006816,,1.8464830503778982,
Turkish Get-ups,HIIT,"Lower Chest, Triceps",Shoulders,Triceps,3,0.8084238816962969,0.3240094384063083,,0.7516339869281045,,1.6773712109069125,-0.6902916954677143,,1.1136043835123202,
Plyo Squats,Strength,"Shoulders, Triceps",Chest,Middle,3,0.5327512984316332,0.502397276892211,,0.16993464052287582,,-0.6751706790639943,0.17622376614970875,,-1.4954436705291374,
Squats,Strength,"Rear Deltoids, Upper Back",Legs,Lower,3,0.6456005706683696,0.4158106590507886,,0.4640522875816993,,0.2878653872929299,-0.24436904872808765,,-0.17626207017109696,
Frog Jumps,Strength,"Quadriceps, Hamstrings, Glutes",Forearms,Triceps,3,0.785888641927168,0.5579709233197443,,0.9019607843137255,,1.485059393280435,0.446171674575781,,1.7878527570286527,
Step-ups,Cardio,"Quadriceps, Hamstrings, Glutes",Chest,Anterior,1,0.6424351409283588,0.28998075964324643,,0.5686274509803922,,0.26085216031567315,-0.8555853418108519,,0.29278027662287365,
Lunges,Strength,"Chest, Triceps",Legs,Wrist Flexors,1,0.49549773096313343,0.2465671739628493,,0.20915032679738563,,-0.993086145965403,-1.0664659912744625,,-1.3195527904813986,
Deadlifts,HIIT,"Core, Shoulders, Legs",Chest,Lower,2,0.6755936889041662,0.6476254937124607,,0.4444444444444443,,0.5438214429331071,0.881667009399829,,-0.2642075101949668,
Decline Push-ups,Strength,"Shoulders, Upper Back",Abs,Anterior,1,0.5608426330659533,0.3487655818893694,,0.3594771241830066,,-0.43544411398522576,-0.5700392091986625,,-0.6453044169650666,
Prone Cobras,Yoga,"Upper Chest, Triceps",Chest,Posterior,3,0.6456564452486503,0.649792200974573,,0.7908496732026142,,0.2883422112452364,0.89219174785372,,1.289495263560059,
Glute Bridges,Cardio,"Chest, Triceps, Shoulders",Forearms,Grip Strength,3,0.6176046831240642,0.35143561696793113,,0.5098039215686274,,0.04895335108343206,-0.5570695656496856,,0.02894395655126494,
Lat Pulldowns,Cardio,"Core, Shoulders, Hips",Back,Grip Strength,2,0.7324098367906098,0.5912736489541677,,0.830065359477124,,1.0286805694618995,0.6079390176926788,,1.4653861436077975,
Prone Cobras,Strength,Triceps,Forearms,Wrist Flexors,1,0.6234807044975541,0.25038632228531416,,0.3921568627450981,,0.09909829572679447,-1.0479145524560167,,-0.49872868359195094,
Bear Crawls,Yoga,"Chest, Triceps",Chest,Middle,3,0.5591246700455934,0.5315114629030475,,0.6470588235294117,,-0.45010491167121597,0.31764535937557853,,0.6445620367183504,
Mountain Climbers,Cardio,"Obliques, Core",Shoulders,Lower,1,0.6338906512067641,0.6509632804464643,,0.5490196078431373,,0.18793497079893806,0.8978802436491147,,0.20483483659900406,
Russian Twists,Cardio,Core,Forearms,Posterior,1,0.5655105008344881,0.3085179524109259,,0.2679738562091503,,-0.39560934212552185,-0.7655412878859186,,-1.0557164704097906,
Shoulder Press,HIIT,"Chest, Triceps",Back,Lower,3,0.7132071382841689,0.28837563658216364,,0.5947712418300654,,0.8648080794888477,-0.8633821959127465,,0.4100408633213657,
Tricep Dips,Strength,"Back, Biceps",Arms,Anterior,3,0.7768344871257649,0.5615230086736974,,0.9215686274509802,,1.4077928105962496,0.4634258602103495,,1.8757981970525213,
Kettlebell Swings,Yoga,"Shoulders, Upper Back",Legs,Lats,1,0.5431919382786392,0.5073921927114796,,0.4313725490196078,,-0.5860720740910071,0.20048647275353212,,-0.32283780354421254,
Resistance Band Pull-Aparts,Cardio,Full Body,Legs,Triceps,1,0.6250835899400079,0.19220170157166136,,0.5816993464052287,,0.11277704137331687,-1.330545217778585,,0.35141056997211917,
Leg Raises,Yoga,"Glutes, Hamstrings",Abs,Lower Chest,1,0.5505080481670244,0.3545273651023456,,0.3986928104575163,,-0.5236376644727959,-0.5420514591204745,,-0.4694135369173282,
Tricep Extensions,HIIT,"Quadriceps, Glutes",Shoulders,Quads,1,0.8996099640499273,0.36425123896816397,,0.8431372549019608,,2.45553738172739,-0.4948179306296012,,1.5240164369570446,
Deadlifts,Yoga,"Quadriceps, Calves, Glutes",Back,Grip Strength,1,0.571585050393929,0.189191164046993,,0.6535947712418301,,-0.3437701924645297,-1.345168845347853,,0.6738771833929739,
Dead Bugs,Strength,Triceps,Shoulders,Posterior,1,0.7414108348317694,0.8772551760716071,,0.7450980392156863,,1.1054935215973842,1.9970887326482014,,1.0842892368376977,
Frog Jumps,HIIT,"Core, Shoulders, Hips",Arms,Triceps,1,0.2527399615025265,0.7980524696495176,,0.5490196078431373,,-3.0647387383586286,1.61236312411346,,0.20483483659900406,
Scissors Kicks,HIIT,"Shoulders, Upper Back",Forearms,Lats,3,0.5641990949323341,0.2877658766423963,,0.1633986928104575,,-0.40680065205934407,-0.8663440929802143,,-1.5247588172037607,
Plyometric Push-ups,Cardio,Lower Abs,Legs,Wrist Flexors,2,0.5914619330815847,0.25761589359052467,,0.5751633986928104,,-0.17414433192019846,-1.0127970502204278,,0.32209542329749613,
Frog Jumps,HIIT,Lower Abs,Abs,Middle,3,0.849814886541438,0.7776919015110384,,0.8562091503267972,,2.030594848938039,1.513462059730074,,1.58264673030629,
Push Ups,Yoga,"Core, Obliques",Back,Lower,2,0.503310120594514,0.11725733540783176,,0.24183006535947713,,-0.9264165713165811,-1.6945860211947212,,-1.172977057108283,
Leg Press,HIIT,"Legs, Shoulders, Core",Forearms,Wrist Flexors,3,0.6985046444691594,0.40489499745549157,,0.5947712418300654,,0.7393395538297648,-0.2973916629734858,,0.4100408633213657,
Bench Press,HIIT,Shoulders,Shoulders,Anterior,2,0.7302139393509947,0.35504741026238307,,0.6601307189542484,,1.0099411625481012,-0.539525349853517,,0.703192330067597,
Inverted Rows,Yoga,"Shoulders, Triceps",Arms,Wrist Extensors,2,0.5657076504807795,0.46965440640382244,,0.4575163398692809,,-0.3939269013256388,0.017175908533744236,,-0.20557721684572047,
Bench Press,Yoga,"Lower Chest, Triceps",Chest,Lats,1,0.5971076822912057,0.4059232677396093,,0.5947712418300654,,-0.12596448988218145,-0.2923968600347184,,0.4100408633213657,
Russian Twists,HIIT,"Chest, Triceps",Abs,Middle,1,0.9060399559888604,0.3408521383599616,,0.8169934640522875,,2.5104098148485052,-0.6084786074842699,,1.4067558502585515,
Russian Twists,HIIT,"Upper Back, Rear Deltoids",Forearms,Middle,1,0.8872218653517543,0.31976578627903546,,0.8562091503267972,,2.349819501554422,-0.7109051532752552,,1.58264673030629,
Seated Rows,Cardio,"Back, Core, Shoulders",Legs,Upper,2,0.6086652309359322,0.4487713549562,,0.4313725490196078,,-0.027334379444279536,-0.08426310837853788,,-0.32283780354421254,
Calf Raises,Yoga,"Rear Deltoids, Upper Back",Chest,Triceps,1,0.5768385523397644,0.5857854849331569,,0.6928104575163399,,-0.29893772036934163,0.5812803675264896,,0.8497680634407125,
Reverse Lunges,Strength,Lower Abs,Back,Quads,3,0.6182370530905288,0.15362065450265705,,0.503267973856209,,0.054349886416940586,-1.5179519047726857,,-0.0003711901233585814,
Russian Twists,Yoga,Calves,Back,Posterior,1,0.6329748980417043,0.48385664030900044,,0.7777777777777778,,0.18012009252499495,0.0861629839577029,,1.2308649702108132,
Deadlift,Cardio,Core,Legs,Upper,1,0.6968446955060046,0.15536936925238615,,0.803921568627451,,0.7251738380201288,-1.5094575568313688,,1.3481255569093058,
Plyo Squats,HIIT,"Core, Shoulders, Hips",Shoulders,Posterior,3,0.3695795431837213,0.6604266732246329,,0.4901960784313726,,-2.067650065061745,0.9438484903145942,,-0.05900148347260413,
Wall Angels,Yoga,"Shoulders, Upper Back",Chest,Lower Chest,3,0.5594588138795726,0.2255711965066005,,0.5882352941176469,,-0.44725338629498035,-1.1684535440809178,,0.3807257166467417,
Mountain Climbers,Strength,"Core, Lower Back",Shoulders,Quads,3,0.6282713370423951,0.03344418633989909,,0.4640522875816993,,0.13998072084041682,-2.1017067653588413,,-0.17626207017109696,
Deadlift,HIIT,"Glutes, Hamstrings",Shoulders,Wrist Flexors,3,0.5382290166815825,0.3984946151569479,,0.03921568627450982,,-0.6284247840175796,-0.3284813957098843,,-2.0817466040215997,
Bear Crawls,Cardio,"Glutes, Hamstrings, Core",Forearms,Anterior,3,0.7535338258351478,0.48415755038635866,,0.96078431372549,,1.208949018801498,0.0876246488155794,,2.05168907710026,
Tricep Extensions,Strength,"Triceps, Chest",Legs,Posterior,1,0.5636442358754482,0.3755279917848896,,0.33986928104575165,,-0.4115357227685725,-0.44004132278756614,,-0.7332498569889361,
Resistance Band Pull-Aparts,HIIT,Core,Legs,Grip Strength,1,0.8564558992778487,0.2181803756488751,,0.784313725490196,,2.087268096851261,-1.204354312886801,,1.2601801168854359,
Step-ups,Strength,"Chest, Triceps, Shoulders",Shoulders,Lats,3,0.8176483469590693,0.2708708078842513,,0.8235294117647057,,1.7560911934538141,-0.9484115614146112,,1.4360709969331744,
Lateral Raises,Cardio,Shoulders,Chest,Upper,2,0.7473657107060385,0.23021581058682905,,0.764705882352941,,1.1563113968387013,-1.145892421372533,,1.1722346768615663,
Decline Push-ups,Yoga,"Upper Chest, Triceps",Back,Wrist Extensors,3,0.5969461475110819,0.47932121303427205,,0.6470588235294117,,-0.12734299960711729,0.06413223403691112,,0.6445620367183504,
Face Pulls,Cardio,"Quadriceps, Glutes",Arms,Lower Chest,3,0.5939724448637159,0.169212037803038,,0.3333333333333333,,-0.1527200609144052,-1.442217063135197,,-0.7625650036635594,
Prone Cobras,Strength,"Upper Chest, Triceps",Chest,Posterior,2,0.4180535393014581,0.5812918922137833,,0.43790849673202603,,-1.653981411143485,0.5594528281460157,,-0.2935226568695898,
Burpees,Cardio,"Back, Hamstrings, Glutes",Chest,Lats,3,0.7265898444172443,0.3152165317381522,,0.8366013071895425,,0.9790137665629381,-0.7330030688729049,,1.4947012902824215,
Pull-ups,Strength,"Lower Back, Glutes",Forearms,Posterior,1,0.6827603290056931,0.556669467799339,,0.5490196078431373,,0.6049803033809771,0.4398498796562936,,0.20483483659900406,
Shoulder Press,Cardio,Calves,Chest,Anterior,3,0.3732747918715493,0.28409622018344227,,0.4313725490196078,,-2.036115455311927,-0.8841693779743995,,-0.32283780354421254,
Push-ups,Yoga,"Lower Abs, Hip Flexors",Abs,Middle,1,0.5543247702317098,0.3839111876927629,,0.6535947712418301,,-0.4910664220473993,-0.3993201114449321,,0.6738771833929739,
Squats,Strength,"Shoulders, Upper Back",Abs,Lats,1,0.7019457137067902,0.3686175001652816,,0.5686274509803922,,0.768705040349854,-0.4736089016460384,,0.29278027662287365,
Box Jumps,HIIT,"Full Body, Core, Shoulders",Abs,Upper,2,0.9024613427796327,0.5237754895497083,,0.96078431372549,,2.4798705519917825,0.2800680190242152,,2.05168907710026,
Rows,Strength,"Upper Back, Rear Deltoids",Chest,Middle,3,0.5432261823030458,0.24186030009230622,,0.31372549019607837,,-0.5857798415412789,-1.0893295397053773,,-0.8505104436874289,
Kettlebell Swings,HIIT,"Chest, Triceps, Shoulders",Back,Grip Strength,1,0.6368039713844998,0.6619061913923426,,0.37254901960784315,,0.21279673861006906,0.9510352210858496,,-0.5866741236158205,
Push-ups,Cardio,"Upper Chest, Triceps",Abs,Wrist Flexors,2,0.5053497312193145,0.23225006419857608,,0.11111111111111113,,-0.9090108889043178,-1.136011073953386,,-1.7592799906007455,
Kettlebell Swings,Cardio,"Chest, Triceps",Shoulders,Wrist Extensors,1,0.5875751401262008,0.6028467856612151,,0.4836601307189542,,-0.2073135471424669,0.6641553045269476,,-0.08831663014722764,
Bird Dogs,Yoga,"Back, Core, Shoulders",Abs,Triceps,1,0.44029386465100656,0.436314925778076,,0.15686274509803919,,-1.4641863418922105,-0.14476997123981888,,-1.5540739638783838,
Plyometric Push-ups,Cardio,"Chest, Triceps",Shoulders,Triceps,3,0.7144403971224138,0.24170928495299387,,0.8169934640522875,,0.8753324959679522,-1.0900630928122659,,1.4067558502585515,
Seated Rows,Cardio,"Quadriceps, Hamstrings, Glutes",Abs,Wrist Extensors,1,0.6407787632512456,0.18005051300796612,,0.6535947712418301,,0.2467169212401191,-1.389569380282257,,0.6738771833929739,
Calf Raises,Cardio,Core,Abs,Quads,1,0.596007811098232,0.6924829265360829,,0.503267973856209,,-0.13535059939078933,1.0995611183258993,,-0.0003711901233585814,
Calf Raises,Yoga,"Upper Back, Rear Deltoids",Abs,Lateral,3,0.43462206144210824,0.1690247643086136,,0.09150326797385618,,-1.5125885242296335,-1.443126740497999,,-1.8472254306246152,
Dragon Flags,Cardio,"Upper Back, Rear Deltoids",Shoulders,Wrist Flexors,1,0.7689515079962653,0.36165114962463496,,0.9738562091503268,,1.3405208374450073,-0.507447814128821,,2.110319370449507,
Plyometric Push-ups,Strength,Full Core,Shoulders,Anterior,3,0.8115856604770169,0.35645339918442803,,0.849673202614379,,1.7043532812324325,-0.5326957859653315,,1.553331583631667,
Dead Bugs,HIIT,"Core, Shoulders, Legs",Legs,Anterior,2,0.7731219603508419,0.3269496094255613,,0.6470588235294117,,1.3761107526555811,-0.6760098718321669,,0.6445620367183504,
Glute Bridges,Yoga,"Core, Obliques",Arms,Lower Chest,3,0.49598356373414454,0.5294785491654727,,0.4183006535947712,,-0.9889401335771236,0.307770520369206,,-0.38146809689345884,
Calf Raises,Cardio,"Lower Back, Glutes",Shoulders,Grip Strength,2,0.6140246782887494,0.2720714798079455,,0.4509803921568627,,0.018402212331665845,-0.9425793208591925,,-0.23489236352034326,
Inverted Rows,Cardio,"Quadriceps, Calves, Glutes",Forearms,Posterior,2,0.6191532181701364,0.5080783911748302,,0.5228758169934641,,0.062168279898007536,0.2038196684650683,,0.08757424990051148,
Lateral Raises,Strength,"Lower Back, Glutes",Shoulders,Anterior,2,0.7802500677747615,0.623116308364622,,0.915032679738562,,1.4369407819330442,0.7626141174773351,,1.8464830503778982,
Lat Pulldowns,Yoga,"Core, Obliques",Abs,Triceps,2,0.6837895311812567,0.2719996136710699,,0.9411764705882353,,0.6137633357833622,-0.9429284092236122,,1.9637436370763914,
Plyo Squats,Yoga,"Upper Chest, Triceps",Shoulders,Lower,3,0.1626423228115772,0.7016802265649141,,0.4640522875816993,,-3.833616320226927,1.144236824628302,,-0.17626207017109696,
Bicycle Crunches,Yoga,"Core, Lower Back",Abs,Triceps,3,0.4445669481593538,0.25191364536271904,,0.21568627450980388,,-1.4277205902614811,-1.040495610264164,,-1.2902376438067757,
Thrusters,Yoga,"Legs, Shoulders, Core",Chest,Upper,2,0.4933265315379785,0.583061320975594,,0.3921568627450981,,-1.0116147843184373,0.568047793998807,,-0.49872868359195094,
Russian Twists,HIIT,"Shoulders, Triceps",Arms,Lower Chest,1,0.6824316178096076,0.33007470799820526,,0.5359477124183007,,0.602175139191867,-0.6608297661968349,,0.146204543249758,
Pull-ups,HIIT,"Lower Abs, Hip Flexors",Legs,Upper,2,0.8041995960901582,0.5775776253405454,,0.7777777777777778,,1.6413218920883583,0.5414108489306645,,1.2308649702108132,
Pull-ups,Strength,"Back, Core, Shoulders",Shoulders,Quads,1,0.6072635985815333,0.26516175513732293,,0.5163398692810457,,-0.039295666232440386,-0.9761431742778602,,0.05825910322588796,
Leg Press,Cardio,Triceps,Shoulders,Grip Strength,2,0.5917229733607807,0.4913064605481973,,0.6209150326797384,,-0.17191665956879595,0.12235034111346915,,0.5273014500198573,
Flutter Kicks,Strength,"Glutes, Hamstrings, Core",Arms,Anterior,1,0.5239445049747651,0.5443003742082074,,0.20261437908496732,,-0.7503263230465984,0.3797672477129983,,-1.3488679371560217,
Burpees,Yoga,"Core, Shoulders, Legs",Abs,Lats,3,0.596680014764126,0.47398189019202025,,0.6470588235294117,,-0.1296141301928731,0.03819657700643538,,0.6445620367183504,
Flutter Kicks,Strength,"Shoulders, Upper Back",Arms,Lateral,1,0.6338088007608755,0.7760137372301863,,0.4967320261437908,,0.18723647332637344,1.5053104093214205,,-0.029686336797981355,
Shoulder Press,HIIT,"Triceps, Chest",Legs,Upper,2,0.6199343178474993,0.7519392049998661,,0.4117647058823529,,0.06883404872230485,1.38836883647744,,-0.4107832435680819,
Frog Jumps,Strength,"Upper Back, Rear Deltoids",Back,Wrist Extensors,3,0.6153738687867363,0.6310632992355261,,0.5359477124183007,,0.029915969436113028,0.8012164713228587,,0.146204543249758,
Bulgarian Split Squats,HIIT,"Shoulders, Triceps",Forearms,Wrist Flexors,3,0.6058780532953767,0.5275821830174028,,0.6535947712418301,,-0.05111966877753876,0.29855895862745485,,0.6738771833929739,
Lat Pulldowns,Yoga,"Upper Chest, Triceps",Chest,Lateral,3,0.516263207629287,0.3436401841867474,,0.4836601307189542,,-0.8158771789226451,-0.5949357290172562,,-0.08831663014722764,
Glute Bridges,Cardio,"Back, Core, Shoulders",Shoulders,Quads,3,0.5512204961382526,0.3085200213491657,,0.22222222222222218,,-0.5175577573710797,-0.7655312380585921,,-1.2609224971321524,
Russian Twists,Strength,"Core, Obliques",Chest,Wrist Flexors,3,0.7084424141713449,0.9932051325055031,,0.6470588235294117,,0.8241467524289442,2.560313394579275,,0.6445620367183504,
Step-ups,Yoga,Quadriceps,Legs,Lateral,1,0.4742806488459356,0.8068739551951021,,0.032679738562091575,,-1.1741490353994954,1.6552133188608313,,-2.111061750696223,
Superman,HIIT,"Glutes, Hamstrings, Core",Abs,Posterior,2,0.6396044771664825,0.758693470557335,,0.4509803921568627,,0.23669576798469033,1.4211775502725756,,-0.23489236352034326,
Resistance Band Pull-Aparts,Strength,"Legs, Shoulders, Core",Forearms,Grip Strength,1,0.6727545946348121,0.27757467148164255,,0.5294117647058822,,0.5195931061172572,-0.915847674161878,,0.116889396575134,
Squats,Yoga,"Back, Biceps",Forearms,Lower Chest,3,0.6653036708345257,0.8231271478525034,,0.9673202614379085,,0.45600821801713565,1.73416288659943,,2.081004223774884,
Dragon Flags,HIIT,"Legs, Core",Shoulders,Lower Chest,1,0.35332251080859467,0.5949955548018494,,0.503267973856209,,-2.206384752480336,0.6260181030780616,,-0.0003711901233585814,
Plyometric Push-ups,Cardio,Full Body,Chest,Triceps,3,0.587521646198004,0.10676570461085799,,0.47058823529411753,,-0.20777005502385243,-1.7455489140708391,,-0.14694692349647417,
Thrusters,Strength,"Glutes, Hamstrings",Abs,Middle,3,0.469390594093284,0.18046960966453854,,0.11764705882352944,,-1.2158799123464412,-1.3875336264107234,,-1.7299648439261224,
Flutter Kicks,Cardio,"Legs, Core",Chest,Lateral,1,0.5848432544889691,0.7807517750102386,,0.4248366013071894,,-0.23062698413386773,1.5283253358376543,,-0.3521529502188361,
Incline Push-ups,Yoga,"Core, Lower Back",Forearms,Lower Chest,3,0.5390739026083463,0.4778680224326379,,0.4444444444444443,,-0.6212146744324328,0.05707338890665493,,-0.2642075101949668,
Leg Press,Strength,"Shoulders, Upper Back",Shoulders,Lower Chest,1,0.628751390539144,0.3514105295213813,,0.3921568627450981,,0.14407741390707707,-0.5571914274341684,,-0.49872868359195094,
Bear Crawls,HIIT,"Shoulders, Upper Back",Abs,Lower Chest,2,0.5839541824709757,0.7772915194711334,,0.24183006535947713,,-0.23821417013822396,1.5115172117456133,,-1.172977057108283,
Decline Push-ups,Strength,Triceps,Chest,Wrist Flexors,1,0.7125878684473785,0.8722826113162021,,0.7777777777777778,,0.8595233383840488,1.972934595903096,,1.2308649702108132,
Mountain Climbers,HIIT,"Rear Deltoids, Upper Back",Chest,Wrist Flexors,1,0.8746700015613309,0.637537170239354,,0.8627450980392157,,2.242704078560651,0.8326631740182159,,1.611961876980914,
Lateral Raises,HIIT,"Legs, Shoulders, Core",Forearms,Lower Chest,2,0.7177758858334506,0.5985817318541939,,0.4575163398692809,,0.9037969766330668,0.6434378884755942,,-0.20557721684572047,
Flutter Kicks,Yoga,"Back, Core, Shoulders",Chest,Lower,1,0.6213905323050242,0.5923511608914608,,0.8366013071895425,,0.08126112968747831,0.6131730110056007,,1.4947012902824215,
Deadlift,HIIT,Triceps,Back,Lower Chest,1,0.531312960649789,0.3594058764815331,,0.20261437908496732,,-0.6874452035874131,-0.5183541848240736,,-1.3488679371560217,
Lat Pulldowns,HIIT,"Lower Chest, Triceps",Shoulders,Wrist Extensors,2,0.7334216528005838,0.6557698350014425,,0.5555555555555556,,1.0373152313503535,0.921227989069133,,0.2341499832736271,
Tricep Dips,Strength,"Upper Chest, Triceps",Back,Lower Chest,1,0.7701886624330148,0.5625464672856368,,0.784313725490196,,1.3510784982843596,0.4683972905449409,,1.2601801168854359,
Lat Pulldowns,Strength,"Glutes, Hamstrings, Core",Legs,Quads,3,0.7794298605407328,0.480312811825166,,0.764705882352941,,1.4299412760204193,0.06894890590940901,,1.1722346768615663,
Renegade Rows,Cardio,"Shoulders, Upper Back",Back,Upper,2,0.5495240947005965,0.5271494779974084,,0.3464052287581699,,-0.5320345522595342,0.29645710239483825,,-0.7039347103143131,
Rows,Cardio,"Biceps, Forearms",Chest,Middle,3,0.5930202136671319,0.45736662073421286,,0.5686274509803922,,-0.16084623636635578,-0.04251177175954626,,0.29278027662287365,
Tricep Extensions,HIIT,"Lower Back, Glutes",Arms,Lats,1,0.48328768665824207,0.47331553916573765,,0.052287581699346365,,-1.0972845409072753,0.03495978983507147,,-2.023116310672354,
Squats,HIIT,Lower Abs,Back,Lower,2,0.7390564999384623,0.40374951481104276,,0.6013071895424835,,1.0854020370038382,-0.3029558226766022,,0.43935600999598823,
Plyo Squats,Yoga,Core,Back,Upper,2,0.5868593008457976,0.36139532517738243,,0.5816993464052287,,-0.2134223950869807,-0.5086904764139047,,0.35141056997211917,
Thrusters,HIIT,"Obliques, Core",Chest,Posterior,1,0.7239807259426676,0.40039192682444086,,0.6274509803921569,,0.9567480031901413,-0.3192652411258951,,0.5566165966944813,
Reverse Lunges,HIIT,"Shoulders, Upper Back",Shoulders,Posterior,1,0.7999147471907542,0.39926618922708207,,0.7712418300653592,,1.6047557366561873,-0.3247334896461692,,1.2015498235361888,
Pull-ups,Yoga,"Full Body, Core, Shoulders",Arms,Lower Chest,3,0.5864201645276893,0.15267480061953798,,0.633986928104575,,-0.2171699080660483,-1.5225463716439143,,0.5859317433691038,
Squats,Yoga,"Upper Back, Rear Deltoids",Shoulders,Lower,1,0.5497278743159115,0.6685169242231273,,0.4967320261437908,,-0.530295532456863,0.9831467274481483,,-0.029686336797981355,
Box Jumps,HIIT,"Lower Back, Glutes",Legs,Lower Chest,1,0.7863424629103736,0.05991410908736842,,0.7058823529411765,,1.4889322226379844,-1.9731296295900622,,0.9083983567899591,
Leg Raises,Yoga,"Legs, Shoulders, Core",Forearms,Wrist Extensors,2,0.5763197055145658,0.36815627899888664,,0.4313725490196078,,-0.3033654689553748,-0.4758492745060865,,-0.32283780354421254,
Windshield Wipers,Yoga,Core,Chest,Lower Chest,2,0.5468311920680332,0.7692496842388432,,0.5816993464052287,,-0.5550153150676945,1.4724541532562878,,0.35141056997211917,
Turkish Get-ups,HIIT,"Legs, Shoulders, Core",Arms,Anterior,2,0.8728511798283254,0.38385038005258165,,0.7712418300653592,,2.2271825701588637,-0.39961548337638625,,1.2015498235361888,
Push Ups,Cardio,"Shoulders, Triceps",Back,Anterior,2,0.636276555258714,0.6875192484919614,,0.5620915032679737,,0.20829586110290602,1.0754501486082968,,0.2634651299482496,
Bird Dogs,Yoga,"Legs, Shoulders, Core",Arms,Triceps,3,0.5285130244353148,0.3404167313781567,,0.30718954248366004,,-0.7113393723719568,-0.610593588443916,,-0.8798255903620522,
Face Pulls,Yoga,Full Body,Legs,Triceps,1,0.5095790203824858,0.17349638594044914,,0.2287581699346405,,-0.8729188706000952,-1.4214059252486198,,-1.2316073504575296,
Tricep Extensions,HIIT,Calves,Back,Posterior,1,0.4905152560111282,0.8316760870008254,,0.026143790849673224,,-1.035605720823051,1.7756891925142413,,-2.1403768973708464,
Bear Crawls,Cardio,"Shoulders, Triceps",Arms,Grip Strength,1,0.5338508113644117,0.6575884781425198,,0.326797385620915,,-0.6657876268855956,0.9300620128135962,,-0.7918801503381827,
Superman,HIIT,Full Body,Arms,Wrist Flexors,1,0.6091769869189254,0.8453966064726103,,0.4117647058823529,,-0.02296714287262889,1.8423363494316343,,-0.4107832435680819,
Tricep Dips,Yoga,"Upper Chest, Triceps",Legs,Middle,1,0.5356797774650124,0.3868585771703078,,0.6470588235294117,,-0.6501795482147147,-0.3850032242883954,,0.6445620367183504,
Seated Rows,Strength,"Triceps, Chest",Forearms,Upper,1,0.8185184471983444,0.8561605424517189,,0.8758169934640523,,1.763516477597516,1.8946219594425138,,1.67059217033016,
Jumping Jacks,HIIT,Triceps,Chest,Quads,2,0.9225025092439383,0.301969303703242,,0.915032679738562,,2.650898381719391,-0.7973512218257678,,1.8464830503778982,
Resistance Band Pull-Aparts,Cardio,"Lower Abs, Hip Flexors",Back,Grip Strength,2,0.5964863917560647,0.48569841995222385,,0.4117647058823529,,-0.1312664752753335,0.09510939281209027,,-0.4107832435680819,
Step-ups,HIIT,"Upper Chest, Triceps",Legs,Middle,3,0.7208839266625917,0.5137662023749151,,0.633986928104575,,0.930320456624091,0.23144810092698068,,0.5859317433691038,
