Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Sets,Reps,Burns Calories (per 30 min),pseudo_target
Mountain Climbers,HIIT,"Quadriceps, Glutes",Arms,Middle,1,4,17,343.86,0.517179
Face Pulls,HIIT,"Quadriceps, Glutes",Back,Lats,1,4,16,327.88,0.5170792
Thrusters,HIIT,"Back, Core, Shoulders",Legs,Anterior,1,4,20,361.05,0.5170612
Bear Crawls,HIIT,"Back, Core, Shoulders",Chest,Upper,1,5,19,357.09,0.5170563
Step-ups,HIIT,"Back, Core, Shoulders",Shoulders,Middle,1,5,22,364.75,0.5169008
Tricep Dips,HIIT,"Quadriceps, Glutes",Arms,Wrist Extensors,1,5,24,333.8,0.5168912
Tricep Dips,HIIT,"Back, Core, Shoulders",Shoulders,Grip Strength,1,5,19,369.8,0.5167985
Pull-ups,HIIT,Calves,Shoulders,Wrist Extensors,1,5,23,350.46,0.5167698
Lateral Raises,HIIT,"Glutes, Hamstrings, Core",Arms,Quads,1,4,17,365.63,0.51672554
Reverse Lunges,HIIT,"Quadriceps, Glutes",Arms,Lower Chest,1,5,18,353.75,0.5166943
Inverted Rows,HIIT,"Quadriceps, Glutes",Chest,Lower Chest,1,5,16,364.25,0.51667035
Decline Push-ups,HIIT,"Quadriceps, Glutes",Chest,Lower Chest,1,5,18,349.98,0.51667035
Superman,HIIT,"Chest, Triceps, Shoulders",Chest,Wrist Extensors,1,4,16,335.04,0.5166237
Incline Push-ups,HIIT,"Back, Core, Shoulders",Arms,Lats,1,5,20,349.93,0.51658094
Face Pulls,HIIT,"Back, Core, Shoulders",Arms,Lats,1,4,24,352.22,0.51658094
Russian Twists,HIIT,"Back, Core, Shoulders",Legs,Grip Strength,1,4,20,343.63,0.51657194
Resistance Band Pull-Aparts,HIIT,"Back, Core, Shoulders",Abs,Lateral,1,4,17,343.55,0.5165602
Prone Cobras,HIIT,"Rear Deltoids, Upper Back",Shoulders,Grip Strength,1,5,19,335.45,0.51653624
Incline Push-ups,HIIT,"Back, Core, Shoulders",Chest,Lower Chest,1,4,18,367.55,0.5165166
Incline Push-ups,HIIT,"Quadriceps, Glutes",Shoulders,Wrist Flexors,1,5,24,350.25,0.516513
Bear Crawls,HIIT,"Quadriceps, Glutes",Forearms,Lateral,1,5,16,346.12,0.51651216
Lunges,HIIT,"Quadriceps, Glutes",Legs,Lateral,1,4,17,350.04,0.51650745
Lunges,HIIT,"Back, Core, Shoulders",Forearms,Quads,1,5,22,358.98,0.51639295
Resistance Band Pull-Aparts,HIIT,"Back, Core, Shoulders",Abs,Posterior,1,5,16,361.4,0.5163709
Rows,HIIT,"Back, Core, Shoulders",Shoulders,Triceps,1,3,12,315.65,0.516368
Bicycle Crunches,HIIT,"Back, Core, Shoulders",Shoulders,Lateral,1,5,19,346.81,0.51628375
Plyometric Push-ups,HIIT,"Quadriceps, Glutes",Legs,Posterior,1,4,18,361.17,0.5162836
Kettlebell Swings,HIIT,"Back, Core, Shoulders",Chest,Triceps,1,4,16,347.41,0.516276
Step-ups,HIIT,"Quadriceps, Glutes",Arms,Anterior,1,5,19,339.49,0.5162641
Bench Press,HIIT,"Quadriceps, Glutes",Back,Lateral,1,4,20,364.07,0.51626366
Push-ups,HIIT,"Back, Core, Shoulders",Abs,Grip Strength,1,4,12,223.65,0.5162543
Resistance Band Pull-Aparts,HIIT,"Quadriceps, Glutes",Shoulders,Grip Strength,1,5,21,337.18,0.51618004
Prone Cobras,HIIT,Calves,Chest,Lats,1,5,21,342.43,0.5161633
Calf Raises,HIIT,"Triceps, Chest",Forearms,Lats,1,5,24,376.3,0.51613116
Deadlift,HIIT,"Quadriceps, Glutes",Back,Grip Strength,1,5,21,342.1,0.5161284
Decline Push-ups,HIIT,"Quadriceps, Glutes",Abs,Anterior,1,4,20,365.0,0.51612467
Push-ups,HIIT,"Quadriceps, Glutes",Abs,Anterior,1,5,22,357.72,0.51612467
Renegade Rows,HIIT,"Back, Core, Shoulders",Shoulders,Posterior,1,4,19,362.41,0.51609445
Plyo Squats,HIIT,"Back, Core, Shoulders",Shoulders,Quads,1,5,21,356.95,0.51609296
Superman,HIIT,"Quadriceps, Glutes",Back,Lower Chest,1,5,25,350.49,0.51607525
Burpees,HIIT,"Back, Core, Shoulders",Legs,Middle,1,5,21,363.19,0.51603484
Pistol Squats,HIIT,Quadriceps,Forearms,Upper,1,5,21,369.11,0.51599675
Seated Rows,HIIT,"Back, Core, Shoulders",Abs,Triceps,1,5,23,348.89,0.51597095
Reverse Lunges,HIIT,"Quadriceps, Glutes",Abs,Wrist Flexors,1,4,19,361.69,0.51593137
Superman,HIIT,"Back, Core, Shoulders",Back,Lower Chest,1,5,21,336.22,0.51592153
Calf Raises,HIIT,"Full Body, Core, Shoulders",Shoulders,Upper,1,5,17,364.11,0.51590216
Zottman Curls,HIIT,"Lower Back, Glutes",Chest,Lats,1,5,18,342.76,0.5158966
Pistol Squats,HIIT,"Chest, Triceps, Shoulders",Forearms,Lower Chest,1,4,17,345.24,0.5158961
Deadlift,HIIT,"Back, Core, Shoulders",Legs,Posterior,1,5,20,370.49,0.5158679
Calf Raises,HIIT,"Upper Chest, Triceps",Abs,Upper,1,5,15,339.27,0.5158358
Squats,HIIT,"Back, Core, Shoulders",Legs,Quads,1,5,19,346.88,0.5157952
Prone Cobras,HIIT,"Glutes, Hamstrings",Chest,Posterior,1,5,23,332.24,0.51578516
Pistol Squats,HIIT,"Glutes, Hamstrings, Core",Chest,Triceps,1,3,10,280.75,0.5156923
Squats,HIIT,"Back, Core, Shoulders",Back,Triceps,1,5,24,340.17,0.51569134
Burpees,HIIT,"Back, Core, Shoulders",Back,Triceps,1,3,15,140.25,0.51569134
Step-ups,HIIT,Triceps,Chest,Wrist Extensors,1,5,20,346.4,0.51563025
Incline Push-ups,HIIT,"Core, Shoulders, Hips",Forearms,Wrist Extensors,1,5,22,327.3,0.5156286
Prone Cobras,HIIT,"Glutes, Hamstrings",Legs,Middle,1,5,24,365.52,0.515598
Mountain Climbers,HIIT,"Quadriceps, Glutes",Forearms,Quads,1,5,24,371.44,0.51558644
Dragon Flags,HIIT,"Core, Shoulders, Hips",Shoulders,Wrist Extensors,1,5,22,362.3,0.5155539
Pull-ups,HIIT,Lower Abs,Shoulders,Lower,1,4,17,347.27,0.51553726
Bench Press,HIIT,Core,Forearms,Wrist Extensors,1,3,30,294.97,0.51553607
Frog Jumps,HIIT,"Back, Core, Shoulders",Back,Middle,1,4,15,341.98,0.51552665
Thrusters,HIIT,"Glutes, Hamstrings, Core",Abs,Quads,1,5,25,342.66,0.51550806
Prone Cobras,HIIT,"Quadriceps, Calves, Glutes",Back,Upper,1,5,21,343.6,0.515487
Deadlift,HIIT,"Quadriceps, Glutes",Abs,Lower,1,4,18,335.0,0.5154859
Calf Raises,HIIT,"Lower Abs, Hip Flexors",Shoulders,Lateral,1,5,17,344.53,0.51544756
Bench Press,HIIT,"Quadriceps, Calves, Glutes",Chest,Posterior,1,5,19,345.41,0.5154276
Jumping Jacks,HIIT,"Quadriceps, Glutes",Back,Posterior,1,4,25,338.83,0.5154244
Glute Bridges,HIIT,"Core, Shoulders, Hips",Chest,Wrist Extensors,1,4,16,348.46,0.5154163
Pistol Squats,HIIT,Full Body,Back,Upper,1,4,15,339.95,0.5154095
Pistol Squats,HIIT,"Triceps, Chest",Back,Upper,1,5,24,371.39,0.5154095
Calf Raises,HIIT,"Upper Back, Rear Deltoids",Chest,Lats,1,4,16,347.24,0.51540786
Bird Dogs,HIIT,"Back, Core, Shoulders",Forearms,Quads,1,4,24,348.0,0.51537865
Prone Cobras,HIIT,"Shoulders, Triceps",Arms,Triceps,1,5,16,369.56,0.51535964
Prone Cobras,HIIT,"Chest, Triceps",Arms,Anterior,1,5,18,350.24,0.51535964
Renegade Rows,HIIT,"Back, Core, Shoulders",Abs,Lower,1,4,22,346.55,0.51533216
Pistol Squats,HIIT,"Glutes, Hamstrings",Forearms,Grip Strength,1,5,21,362.35,0.5153252
Pistol Squats,HIIT,"Lower Abs, Hip Flexors",Legs,Anterior,1,4,16,326.75,0.5153057
Face Pulls,HIIT,Full Body,Forearms,Wrist Extensors,1,5,15,366.38,0.51529855
Prone Cobras,HIIT,"Lower Back, Glutes",Back,Lower,1,4,24,359.5,0.5152934
Prone Cobras,HIIT,"Shoulders, Upper Back",Legs,Upper,1,4,21,333.38,0.51528853
Push Ups,HIIT,"Back, Core, Shoulders",Chest,Triceps,1,5,19,356.67,0.5152841
Pistol Squats,HIIT,Calves,Legs,Lats,1,5,22,348.6,0.5152656
Calf Raises,HIIT,"Core, Shoulders, Hips",Forearms,Middle,1,4,23,353.43,0.5152147
Box Jumps,HIIT,"Quadriceps, Glutes",Shoulders,Middle,1,5,20,344.7,0.5151982
Pull-ups,HIIT,Shoulders,Back,Upper,1,4,20,358.41,0.5151522
Prone Cobras,HIIT,"Full Body, Core, Shoulders",Legs,Quads,1,5,25,333.64,0.51511693
Dips,HIIT,"Back, Core, Shoulders",Legs,Triceps,1,4,25,341.06,0.51510596
Inverted Rows,HIIT,"Back, Core, Shoulders",Arms,Quads,1,5,16,366.9,0.5150666
Bird Dogs,HIIT,"Back, Core, Shoulders",Abs,Lateral,1,4,19,352.9,0.5150218
Lat Pulldowns,HIIT,"Back, Core, Shoulders",Chest,Grip Strength,1,5,21,338.4,0.51499164
Windshield Wipers,HIIT,"Lower Back, Glutes",Arms,Lats,1,4,19,361.95,0.51498955
Prone Cobras,HIIT,Calves,Back,Middle,1,3,12,313.94,0.5149572
Pistol Squats,HIIT,"Upper Chest, Triceps",Back,Upper,1,4,19,346.92,0.5149459
Calf Raises,HIIT,"Back, Hamstrings, Glutes",Abs,Anterior,1,5,23,331.93,0.5149226
Box Jumps,HIIT,"Back, Core, Shoulders",Legs,Lateral,1,5,21,358.42,0.514867
Dips,HIIT,"Back, Core, Shoulders",Chest,Triceps,1,5,24,353.57,0.5148166
Calf Raises,HIIT,"Chest, Triceps",Forearms,Wrist Flexors,1,4,23,335.98,0.5147412
Pistol Squats,HIIT,"Chest, Triceps",Legs,Grip Strength,1,4,21,339.16,0.5147325
Pull-ups,HIIT,"Legs, Shoulders, Core",Forearms,Upper,1,4,22,342.25,0.5147256
Pistol Squats,HIIT,Quadriceps,Forearms,Grip Strength,1,5,15,342.9,0.51472247
Lat Pulldowns,HIIT,"Back, Core, Shoulders",Chest,Triceps,1,5,23,357.82,0.5147083
Pistol Squats,HIIT,Shoulders,Shoulders,Lower Chest,1,5,17,326.99,0.51470214
Plank,HIIT,Lower Abs,Shoulders,Lower Chest,1,5,25,337.89,0.51466256
Plyometric Push-ups,HIIT,"Chest, Triceps, Shoulders",Chest,Grip Strength,1,4,22,332.78,0.5146384
Plank,HIIT,"Back, Biceps",Shoulders,Wrist Extensors,1,4,21,352.64,0.5146074
Pull-ups,HIIT,"Lower Abs, Hip Flexors",Forearms,Wrist Flexors,1,5,24,330.57,0.5145959
Prone Cobras,HIIT,Shoulders,Back,Quads,1,5,23,332.57,0.514592
Prone Cobras,HIIT,Calves,Back,Lower,1,5,15,347.45,0.5144831
Jumping Jacks,HIIT,"Glutes, Hamstrings, Core",Back,Quads,1,4,25,353.17,0.51445585
Turkish Get-ups,HIIT,"Back, Core, Shoulders",Abs,Grip Strength,1,5,24,371.79,0.5144298
Shoulder Press,HIIT,"Back, Core, Shoulders",Shoulders,Quads,1,4,25,355.79,0.514408
Plank,HIIT,"Triceps, Chest",Forearms,Wrist Extensors,1,4,20,358.81,0.5143788
Bench Press,HIIT,"Obliques, Core",Abs,Triceps,1,4,18,367.47,0.51436186
Plyo Squats,HIIT,Shoulders,Legs,Lats,1,4,25,331.44,0.51430815
Superman,HIIT,"Back, Core, Shoulders",Back,Lower,1,4,25,332.95,0.51426476
Jumping Jacks,HIIT,Full Body,Abs,Wrist Extensors,1,3,12,219.55,0.51422673
Flutter Kicks,HIIT,"Chest, Triceps",Shoulders,Wrist Extensors,1,5,23,372.92,0.51421976
Pull-ups,HIIT,"Upper Back, Rear Deltoids",Chest,Wrist Flexors,1,4,15,366.48,0.51421916
Windshield Wipers,HIIT,"Upper Chest, Triceps",Arms,Wrist Extensors,1,5,16,364.44,0.51420933
Calf Raises,HIIT,"Lower Back, Glutes",Back,Lateral,1,4,23,347.43,0.51420844
Pistol Squats,HIIT,"Full Body, Core, Shoulders",Chest,Lower Chest,1,5,21,356.91,0.5141993
Prone Cobras,HIIT,"Full Body, Core, Shoulders",Chest,Lower,1,4,25,330.08,0.5141816
Dead Bugs,HIIT,"Quadriceps, Glutes",Abs,Lats,1,4,18,328.86,0.5141675
Zottman Curls,HIIT,"Back, Core, Shoulders",Shoulders,Anterior,1,5,24,371.87,0.51416194
Calf Raises,HIIT,"Quadriceps, Hamstrings, Glutes",Abs,Triceps,1,4,22,342.0,0.51413673
Pistol Squats,HIIT,"Chest, Triceps",Forearms,Posterior,1,4,16,345.46,0.5141342
Pistol Squats,HIIT,Full Core,Abs,Posterior,1,4,18,367.61,0.5140881
Lateral Raises,HIIT,"Core, Obliques",Forearms,Wrist Extensors,1,5,21,357.56,0.5140757
Squats,HIIT,Shoulders,Chest,Lats,1,4,24,331.27,0.5140372
Tricep Extensions,HIIT,Core,Forearms,Upper,1,5,23,347.34,0.51401114
Calf Raises,HIIT,"Legs, Shoulders, Core",Forearms,Middle,1,4,17,348.05,0.5140051
Bench Press,HIIT,Full Body,Shoulders,Quads,1,4,24,341.95,0.5140019
Windshield Wipers,HIIT,Shoulders,Shoulders,Upper,1,4,24,349.61,0.51400155
Lateral Raises,HIIT,"Upper Chest, Triceps",Shoulders,Wrist Extensors,1,4,18,367.51,0.5139609
Burpees,HIIT,"Quadriceps, Glutes",Forearms,Quads,1,4,18,343.13,0.5139565
Prone Cobras,HIIT,"Obliques, Core",Back,Triceps,1,5,16,344.36,0.5139156
Lateral Raises,HIIT,"Glutes, Hamstrings",Shoulders,Lower Chest,1,4,21,349.92,0.5138627
Calf Raises,HIIT,Core,Abs,Posterior,1,5,25,349.55,0.5138575
Flutter Kicks,HIIT,"Upper Back, Rear Deltoids",Abs,Lower Chest,1,4,22,356.48,0.5138543
Calf Raises,HIIT,Triceps,Back,Middle,1,5,20,337.65,0.5138339
Tricep Extensions,HIIT,"Glutes, Hamstrings, Core",Arms,Lower Chest,1,5,25,345.85,0.51381034
Bulgarian Split Squats,HIIT,Shoulders,Shoulders,Lats,1,5,22,359.6,0.51380867
Step-ups,HIIT,"Upper Back, Rear Deltoids",Abs,Wrist Extensors,1,5,19,347.96,0.51378363
Reverse Lunges,HIIT,Full Body,Arms,Wrist Extensors,1,4,19,331.35,0.5137784
Bear Crawls,HIIT,"Upper Back, Rear Deltoids",Shoulders,Wrist Extensors,1,4,22,363.46,0.5137775
Tricep Extensions,HIIT,"Quadriceps, Glutes",Shoulders,Quads,1,5,16,364.95,0.5137634
Bicycle Crunches,HIIT,Full Body,Chest,Wrist Extensors,1,5,21,346.69,0.5137544
Kettlebell Swings,HIIT,"Upper Back, Rear Deltoids",Back,Wrist Extensors,1,5,23,332.87,0.51373106
Mountain Climbers,HIIT,"Glutes, Hamstrings",Arms,Lateral,1,4,24,342.63,0.5137179
Box Jumps,HIIT,"Quadriceps, Glutes",Chest,Lower,1,4,15,350.69,0.5137076
Lateral Raises,HIIT,"Glutes, Hamstrings, Core",Shoulders,Lower Chest,1,4,23,351.94,0.51369363
Renegade Rows,HIIT,"Chest, Triceps, Shoulders",Chest,Posterior,1,5,18,333.87,0.5136724
Pull-ups,HIIT,"Lower Abs, Hip Flexors",Chest,Anterior,1,5,16,330.94,0.5136606
Shoulder Press,HIIT,"Back, Core, Shoulders",Back,Posterior,1,4,22,367.16,0.5136569
Push Ups,HIIT,"Upper Back, Rear Deltoids",Forearms,Wrist Extensors,1,4,19,361.93,0.51363766
Prone Cobras,HIIT,"Legs, Core",Chest,Upper,1,5,24,355.35,0.5136007
Inverted Rows,HIIT,"Chest, Triceps, Shoulders",Chest,Quads,1,5,17,346.45,0.5135997
Windshield Wipers,HIIT,Full Body,Back,Triceps,1,5,23,341.22,0.5135867
Scissors Kicks,HIIT,Full Body,Arms,Upper,1,5,15,345.94,0.513552
Face Pulls,HIIT,Shoulders,Arms,Wrist Extensors,1,4,22,355.91,0.513497
Step-ups,HIIT,Shoulders,Arms,Lats,1,5,16,362.69,0.5134737
Box Jumps,HIIT,Full Body,Shoulders,Wrist Extensors,1,4,22,362.54,0.5134649
Flutter Kicks,HIIT,"Upper Back, Rear Deltoids",Forearms,Anterior,1,5,19,353.74,0.5134552
Glute Bridges,HIIT,"Upper Chest, Triceps",Legs,Wrist Extensors,1,5,25,350.45,0.51345015
Lateral Raises,HIIT,"Core, Shoulders, Hips",Abs,Anterior,1,4,23,361.85,0.51344573
Pistol Squats,HIIT,"Core, Lower Back",Arms,Triceps,1,4,24,351.66,0.5134354
Kettlebell Swings,HIIT,"Lower Back, Glutes",Shoulders,Wrist Extensors,1,4,18,337.55,0.5134251
Thrusters,HIIT,Full Body,Forearms,Lats,1,4,19,347.94,0.51341385
Bench Press,HIIT,"Lower Back, Glutes",Shoulders,Triceps,1,4,25,358.24,0.5133676
Mountain Climbers,HIIT,"Back, Biceps",Back,Lateral,1,5,16,376.86,0.5133623
Jumping Jacks,HIIT,"Chest, Triceps, Shoulders",Legs,Wrist Extensors,1,4,23,354.58,0.5133553
Mountain Climbers,HIIT,Full Body,Chest,Lats,1,4,18,370.98,0.5133001
Pistol Squats,HIIT,"Shoulders, Triceps",Arms,Posterior,1,5,15,347.34,0.5132999
Pull-ups,HIIT,"Lower Back, Glutes",Abs,Posterior,1,3,20,240.01,0.5132969
Prone Cobras,HIIT,"Shoulders, Upper Back",Arms,Posterior,1,4,15,349.56,0.5132951
Pull-ups,HIIT,Core,Forearms,Posterior,1,5,24,370.65,0.5132791
Deadlift,HIIT,Full Body,Legs,Lats,1,5,25,327.77,0.5132503
Glute Bridges,HIIT,"Core, Shoulders, Hips",Legs,Lateral,1,5,25,330.52,0.5132478
Windshield Wipers,HIIT,Shoulders,Legs,Lower Chest,1,3,20,195.59,0.51323533
Mountain Climbers,HIIT,"Upper Chest, Triceps",Arms,Lateral,1,5,17,352.28,0.513231
Dead Bugs,HIIT,"Quadriceps, Glutes",Abs,Grip Strength,1,5,25,360.2,0.51321673
Flutter Kicks,HIIT,"Upper Chest, Triceps",Shoulders,Wrist Flexors,1,4,23,345.03,0.51319754
Flutter Kicks,HIIT,"Core, Shoulders, Hips",Legs,Lower Chest,1,4,22,332.57,0.5131725
Mountain Climbers,HIIT,"Shoulders, Triceps",Chest,Lateral,1,5,21,374.57,0.5131696
Pull-ups,HIIT,"Legs, Core",Back,Upper,1,4,19,342.44,0.51316756
Leg Press,HIIT,"Glutes, Hamstrings, Core",Arms,Lower Chest,1,4,24,370.57,0.51315355
Plank,HIIT,"Lower Abs, Hip Flexors",Forearms,Lats,1,4,16,335.86,0.5131511
Lunges,HIIT,"Back, Hamstrings, Glutes",Shoulders,Wrist Extensors,1,4,24,348.62,0.5131475
Pull-ups,HIIT,Full Core,Legs,Quads,1,4,15,366.6,0.51310056
Calf Raises,HIIT,"Full Body, Core, Shoulders",Chest,Lateral,1,5,20,327.83,0.51309663
Mountain Climbers,HIIT,Full Body,Shoulders,Triceps,1,5,23,352.72,0.5130825
Squats,HIIT,"Chest, Triceps, Shoulders",Legs,Lats,1,4,18,370.68,0.51306367
Incline Push-ups,HIIT,"Chest, Triceps",Chest,Wrist Extensors,1,4,24,370.42,0.5130577
Zottman Curls,HIIT,"Quadriceps, Glutes",Forearms,Wrist Flexors,1,4,20,356.7,0.5130345
Pull-ups,HIIT,"Glutes, Hamstrings, Core",Abs,Lateral,1,4,24,366.59,0.5130271
Windshield Wipers,HIIT,"Glutes, Hamstrings, Core",Legs,Lower,1,4,24,354.34,0.51301384
Windshield Wipers,HIIT,"Core, Obliques",Forearms,Lower Chest,1,5,15,337.6,0.51297885
Calf Raises,HIIT,"Legs, Shoulders, Core",Arms,Middle,1,5,18,366.07,0.51297534
Zottman Curls,HIIT,"Quadriceps, Glutes",Abs,Grip Strength,1,4,25,336.9,0.512975
Bicycle Crunches,HIIT,"Back, Biceps",Legs,Lower Chest,1,5,25,355.25,0.5129715
Resistance Band Pull-Aparts,HIIT,"Quadriceps, Hamstrings, Glutes",Forearms,Wrist Extensors,1,5,16,378.82,0.5129604
Pistol Squats,HIIT,"Core, Lower Back",Arms,Quads,1,4,22,338.07,0.512942
Windshield Wipers,HIIT,"Obliques, Core",Shoulders,Upper,1,4,21,366.32,0.5129342
Burpees,HIIT,"Quadriceps, Glutes",Arms,Quads,1,5,15,343.12,0.5129267
Plank,HIIT,"Glutes, Hamstrings",Forearms,Upper,1,4,16,357.19,0.51290953
Bicycle Crunches,HIIT,"Back, Hamstrings, Glutes",Legs,Grip Strength,1,5,21,355.67,0.51288134
Plank,HIIT,Shoulders,Legs,Lats,1,5,24,365.11,0.5128469
Step-ups,HIIT,"Core, Shoulders, Hips",Shoulders,Lats,1,4,19,334.56,0.51284474
Plank,HIIT,Full Body,Abs,Quads,1,4,22,346.51,0.5128159
Pull-ups,HIIT,"Full Body, Core, Shoulders",Forearms,Posterior,1,3,10,270.24,0.51280123
Pull-ups,HIIT,"Lower Abs, Hip Flexors",Back,Quads,1,4,24,352.3,0.5127825
Windshield Wipers,HIIT,"Lower Chest, Triceps",Chest,Wrist Extensors,1,5,24,369.91,0.51276034
Tricep Extensions,HIIT,Triceps,Back,Wrist Extensors,1,5,23,340.59,0.5127498
Pull-ups,HIIT,"Core, Shoulders, Legs",Shoulders,Lats,1,5,25,347.55,0.5127059
Kettlebell Swings,HIIT,Full Body,Abs,Lower Chest,1,5,16,359.02,0.5127037
Plyometric Push-ups,HIIT,"Chest, Triceps, Shoulders",Forearms,Wrist Extensors,1,5,23,330.77,0.5126709
Leg Press,HIIT,Full Body,Forearms,Lats,1,4,8,315.19,0.51265824
Incline Push-ups,HIIT,"Lower Back, Glutes",Shoulders,Wrist Extensors,1,5,16,362.26,0.51264775
Incline Push-ups,HIIT,"Lower Back, Glutes",Shoulders,Wrist Extensors,1,4,16,332.54,0.51264775
