meal_name,Calories,Proteins,Carbs,Fats,sugar_g,serving_size_g,sodium_g,cholesterol_g,C,P,M,ED,F
Fried Keto Lunch,2269.0,118.4,296.87,79.38,15.56,353.93,2.42523,0.23502,0.654643943587811,0.42125802392443573,0.6985289646624102,0.08975493242079939,0.2587016342058782
Raw Balanced Lunch,3016.0,79.79,198.29,52.85,43.02,466.3,2.0928,0.2544,0.6526243280721147,0.048167439193386584,0.699558815782674,0.05910043658849315,0.05409217779616626
Baked Vegan Lunch,2624.0,111.71,282.28,74.89,9.88,459.96,0.43489,0.0028399999999999,0.7570673018838325,0.378633663050923,0.6946896152618897,0.0758805214676137,0.8581622976719315
Raw Paleo Dinner,2601.0,128.81,321.28,85.61,7.3,96.89,2.43423,0.24977,0.7504314223322592,0.4875838231312021,0.6987047394305694,0.4913107314984222,0.3028494622743674
Baked Low-Carb Snack,1549.0,92.48,231.25,61.37,30.58,269.54,0.27674,0.26646,0.44691206197334477,0.2561125181185391,0.6970352755168021,0.07670556442180858,0.399205667754162
Fried Vegetarian Breakfast,1981.0,82.81,207.11,55.52,4.58,161.5,0.36577,0.28174,0.8573267864130367,0.45830744970612125,0.6997756258676131,0.32534533777315955,0.5784899932052108
Baked Paleo Snack,1497.0,69.71,174.44,46.5,41.73,212.06,2.31593,0.14884,0.43190920385674436,0.11103677864322005,0.6981055007719763,0.10249786410080286,0.16758233799938993
Baked Keto Breakfast,3255.0,122.78,304.8,81.51,44.74,284.83,0.08645,0.1816299999999999,0.9391212147987328,0.44916455615552475,0.7007117725024685,0.18834570863791275,0.42952501896515605
Roasted Paleo Dinner,1741.0,80.05,202.57,53.22,35.39,433.04,2.12196,0.2046,0.5023072304038692,0.1769165830426403,0.6916775201541521,0.04277919261757183,0.16898716624753884
Roasted Balanced Lunch,1950.0,76.42,188.66,50.28,2.81,329.67,2.41337,0.11151,0.5626071793725127,0.15378856660454596,0.7009803489536971,0.08001048926325195,0.5076316173522865
Steamed Keto Dinner,2030.0,94.49,235.62,62.77,27.18,484.4,1.25935,0.18637,0.5856884995518978,0.2689189404437648,0.6986943996761699,0.046126557316385035,0.3799000913361865
Boiled Low-Carb Snack,3313.0,117.99,296.66,78.86,4.0,379.38,2.35197,0.11973,0.9558551719287869,0.4186457686242652,0.6963117023496868,0.13538138085325715,0.4884859996997004
Roasted Low-Carb Dinner,1390.0,83.24,205.31,55.37,8.38,284.74,1.49043,0.2703299999999999,0.40103793811681665,0.1972412035488444,0.7044403967788112,0.059703577719543294,0.3850170549223395
Roasted Paleo Breakfast,1489.0,85.55,215.24,57.33,35.32,130.6,1.70776,0.0530099999999999,0.4296010718388058,0.21195903219126802,0.696716934802478,0.18782211524788692,0.417550499561006
Boiled Vegan Dinner,2531.0,118.19,296.47,79.21,19.02,116.63,0.34567,0.21913,0.9046470992370541,0.7964352272184259,0.6982168567221254,0.6034567434654625,0.5348995023996599
Grilled Keto Snack,1325.0,86.75,217.46,57.22,27.11,145.4,1.95949,0.03792,0.5734265482065994,0.4959621541549194,0.6941485359103817,0.23239066153841487,0.4613183519997792
Roasted Paleo Snack,2334.0,115.86,291.2,77.53,22.78,392.68,0.79039,0.08806,0.6733975162335614,0.4050747837721603,0.6968225375110986,0.08057576226696693,0.6033369146947731
Baked Paleo Dinner,1353.0,112.63,282.27,74.94,29.84,177.23,1.41955,0.1343,0.3903628275338511,0.38449530909032975,0.6966598120161025,0.11379395038468722,0.4006943136972161
Raw Vegetarian Snack,2728.0,122.15,306.41,82.17,46.88,161.17,2.00077,0.25288,0.7870730181170332,0.4451506028894092,0.6992398027499117,0.29639587276067836,0.06099631601072675
Roasted Balanced Snack,2657.0,115.2,288.65,76.75,3.45,332.16,0.45913,0.25152,0.7665883464578288,0.400869689874325,0.697123529940129,0.12096687700810475,0.5958260083480171
Boiled Balanced Lunch,2621.0,139.49,348.88,92.94,42.99,309.1,0.89154,0.01644,0.7562017523771055,0.5556298880234466,0.6980356066142858,0.13040541075774914,0.5244115841112003
Baked Paleo Breakfast,2174.0,69.71,174.44,46.5,38.15,211.58,0.9265,0.21713,0.6272348758747911,0.11103677864322005,0.6981055007719763,0.16569170843519876,0.30780805234021613
Fried Paleo Snack,1839.0,85.89,217.65,58.01,4.67,240.22,2.17993,0.11605,0.5305818476236158,0.2141252926840923,0.6953601426171621,0.11421320720449507,0.5019215145406144
Steamed Balanced Lunch,1549.0,109.75,274.39,73.35,31.52,315.25,1.79205,0.04321,0.6703680929600171,0.7157738806326754,0.6990773287007201,0.1086097916361014,0.4460093354167969
Baked Vegetarian Dinner,1446.0,98.22,247.09,66.16,2.48,143.15,0.107,0.2016,0.41719486224238633,0.2926840923209251,0.6981962058555133,0.162276678605453,0.716438408588557
Grilled Paleo Breakfast,2285.0,100.12,251.88,66.98,8.63,146.05,1.56145,0.0813499999999999,0.988890311435532,0.6237396664595977,0.6962810559950037,0.42495037059317137,0.6055170759934885
Baked Vegetarian Lunch,1789.0,80.95,201.78,53.99,34.91,450.97,2.13037,0.12694,0.5161560225115002,0.18265080199423395,0.6999809248530513,0.04172962644109796,0.2673594615060053
Steamed Vegan Lunch,1648.0,72.16,178.89,48.06,28.52,423.53,1.03356,0.1619799999999999,0.7132127935430008,0.3565250633153342,0.7022808028139543,0.07847085779649664,0.4330052422495696
Steamed Balanced Dinner,2268.0,125.01,312.47,83.31,42.56,467.17,1.1541,0.08318,0.981533140628353,0.8616141826348734,0.6983998715279544,0.10687663446458091,0.40670693950564785
Baked Balanced Lunch,1771.0,87.44,220.02,58.56,9.75,433.09,0.31281,0.00453,0.7664440882067077,0.502556505949252,0.6964886526837257,0.08431065871256063,0.8749415639456615
Fried Low-Carb Breakfast,1934.0,101.44,256.52,67.94,25.86,106.63,0.75583,0.12214,0.5579909153366356,0.313199853458849,0.6940577761308931,0.3201987263500303,0.5430217352498141
Raw Vegetarian Snack,1656.0,81.81,202.77,54.86,7.24,439.22,1.2226400000000002,0.18513,0.47778332771327237,0.18813016677020117,0.7042703261959907,0.03786451311366249,0.537392546145919
Fried Vegan Breakfast,1242.0,113.61,282.8,75.84,12.42,343.83,1.21206,0.00443,0.3583374957849542,0.3907392363931762,0.7009040103123517,0.03475822636048557,0.7231509755246937
Baked Paleo Snack,1872.0,72.39,180.13,48.72,43.55,126.35,1.53361,0.08134,0.4050771691482091,0.012806422325225815,0.7033401972928124,0.18213826400073832,0.3459019447406434
Boiled Balanced Dinner,2558.0,139.49,348.88,92.94,7.53,108.68,1.51417,0.0997,0.5535189095518798,0.3334448320351699,0.6980356066142858,0.31067287551663597,0.5980723936674326
Raw Vegetarian Snack,1918.0,89.45,223.1,59.04,27.1,424.7,1.51519,0.28084,0.5533746513007587,0.23680731431484045,0.6968132441088727,0.05252066689422866,0.2400210404633739
Steamed Vegan Dinner,2956.0,122.84,306.96,81.67,15.4,392.99,0.10915,0.03129,0.8528547806282809,0.4495468374189643,0.6978832594117226,0.11158655674807416,0.8290404003939893
Steamed Low-Carb Breakfast,3424.0,120.07,298.21,79.45,39.98,312.73,1.28681,0.25192,0.9878805036776838,0.4318981857568372,0.6995815551404141,0.178930204790658,0.19820179194723875
Baked Balanced Snack,1861.0,119.65,298.86,80.16,20.54,327.28,0.92721,0.00793,0.5369292106729469,0.4292222169127602,0.7002086734248973,0.07551537238184981,0.6992392885342269
Grilled Keto Snack,2366.0,80.59,200.87,53.75,11.46,361.5,0.32263,0.27793,0.6826300443053155,0.18035711441359648,0.7000124353860399,0.0923897736289031,0.5328546299216058
Raw Vegetarian Snack,1731.0,84.99,211.62,57.28,12.74,488.42,1.48792,0.1673,0.49942206538144596,0.20839107373249866,0.703408619082313,0.0334186069234743,0.4790273027154901
Steamed Balanced Snack,1615.0,81.36,201.97,54.63,37.38,491.62,1.82276,0.26753,0.6989312266820062,0.4444497539064366,0.7038654303806704,0.06060635952315086,0.12002076933905392
Grilled Vegan Breakfast,1995.0,101.9,254.78,68.03,2.95,205.51,1.3771300000000002,0.15372,0.5755904219734169,0.3161306764785524,0.6987475981144415,0.1545392428022939,0.5859742740850338
Boiled Keto Snack,2502.0,109.74,276.79,73.73,12.48,401.47,0.15878,0.21612,0.7218682886102702,0.3660820949013236,0.6962032381616123,0.08624175872013166,0.6153895150415778
Raw Keto Lunch,2466.0,99.54,250.06,66.37,31.49,416.48,0.96713,0.19557,0.7114816945295468,0.3010942801165958,0.6960675327538581,0.08012931542054891,0.3787956843161915
Roasted Low-Carb Breakfast,1433.0,83.47,208.63,54.99,20.37,239.06,2.0017,0.22222,0.6201662215698545,0.4646150905528742,0.6952480390745056,0.14046710140566748,0.2782572175148411
Raw Vegan Snack,1410.0,118.76,295.15,79.09,30.5,273.04,1.6826500000000002,0.14942,0.3051062011212473,0.23438619964638985,0.7010308794506983,0.03988346905958243,0.3384760852146793
Boiled Vegan Lunch,1758.0,85.59,214.64,57.27,43.07,396.21,2.06947,0.00482,0.5072120109419884,0.21221388636689445,0.6979012772120239,0.050966479389400215,0.3655874800913035
Baked Keto Lunch,1857.0,86.76,217.52,58.54,15.12,295.27,1.25385,0.21237,0.5357751446639776,0.2196683710039662,0.7003389619474667,0.08736310479853512,0.4396464851796654
Steamed Keto Dinner,1142.0,133.7,332.81,88.57,7.39,474.44,0.92713,0.0794599999999999,0.3294858455607229,0.5187397461015274,0.6987885483888367,0.011074378701734462,0.7101526564235958
Roasted Low-Carb Dinner,2619.0,116.49,293.13,78.24,29.7,153.18,1.92882,0.06155,0.7556247193726209,0.4090887370382758,0.6972629983591976,0.2997622545271159,0.4170486939776432
Grilled Vegan Snack,1891.0,76.31,190.36,50.8,2.45,331.8,2.4184,0.1099,0.5455847057402162,0.15308771762157342,0.6990860006058053,0.07576993340326035,0.5123400314213091
Steamed Paleo Breakfast,3376.0,93.24,233.71,61.85,17.72,211.02,2.48674,0.26581,0.9740317115700527,0.2609547474554403,0.6957471180700551,0.2781644602332532,0.2043366811649454
Roasted Vegetarian Snack,1760.0,119.17,296.4,79.57,6.13,396.65,0.89907,0.12565,0.507789043946473,0.42616396680524365,0.70136638569331,0.050968842702995405,0.6666929606746801
Roasted Vegan Snack,2327.0,106.58,265.42,71.22,45.23,222.77,0.59133,0.07878,0.503533425538399,0.17618387728771442,0.7009658250534163,0.1177274770580767,0.48266579538896803
Boiled Keto Snack,1844.0,80.56,201.73,53.87,34.93,428.49,2.08029,0.20699,0.5320244301348274,0.1801659737818767,0.6984463328926431,0.04834191092155049,0.17561233361426953
Raw Paleo Lunch,2204.0,83.89,207.92,56.62,17.69,289.93,0.16398,0.1758,0.9538355564130908,0.4686290438189898,0.7060761081586215,0.1878521282404162,0.6251144421981318
Boiled Vegetarian Snack,1686.0,86.97,218.11,57.62,39.62,208.38,1.26594,0.11713,0.7296582341708127,0.49806470110383705,0.6951466307380965,0.2022708960503619,0.3705644567770333
Grilled Paleo Dinner,1625.0,116.97,294.52,78.33,18.37,440.52,2.22022,0.10357,0.4688393161437606,0.4121469871457925,0.6961382861048101,0.03626297090272242,0.4079838214393
Fried Balanced Snack,2877.0,121.46,303.62,81.55,46.8,299.74,0.87333,0.25953,0.6225464827133536,0.24728819228747548,0.7004240572497175,0.10523757847735266,0.21796128254560987
Baked Vegan Dinner,2381.0,112.06,278.15,74.19,40.48,163.75,2.46416,0.09944,0.5152183438792126,0.20237014383332538,0.7000245372729724,0.1780773711880172,0.23807522969439776
Steamed Low-Carb Breakfast,1952.0,139.49,348.88,92.94,27.35,295.64,2.3735500000000003,0.21436,0.422388159282748,0.3334448320351699,0.6980356066142858,0.06108550396763973,0.1952003430312368
Roasted Keto Snack,1264.0,111.49,275.13,74.23,47.45,465.82,0.33413,0.2934,0.5470272882514278,0.7324031155922968,0.7044413695426317,0.04375837834379949,0.28437922504443713
Boiled Vegetarian Breakfast,2062.0,88.29,218.96,58.24,5.17,364.25,1.17078,0.24888,0.594921027623652,0.2294165432216754,0.6994455725661092,0.07501789101446114,0.48183441834702423
Baked Balanced Breakfast,1524.0,94.96,237.92,62.69,7.87,496.8,2.29203,0.03856,0.4396991494172868,0.2719134770073748,0.6946376313216528,0.024055758197170724,0.5595784322341083
Raw Keto Dinner,1946.0,92.08,231.65,61.08,18.94,152.4,0.28993,0.23447,0.5614531133635434,0.2535639763622752,0.6939408833762204,0.2147013086684063,0.524711594007642
Grilled Paleo Lunch,1806.0,87.58,217.93,57.79,36.0,319.46,1.46786,0.1639499999999999,0.5210608030496195,0.22489288160430698,0.69787969526798,0.07486741619014647,0.31045336147643554
Boiled Paleo Lunch,1252.0,79.89,201.46,53.95,37.21,304.0,1.83659,0.01725,0.3612226608073773,0.17589716634013472,0.6977219889476631,0.04470516729629447,0.42859818693596696
Fried Vegan Breakfast,1430.0,93.15,233.19,61.59,10.68,151.88,1.45439,0.24746,0.41257859820650944,0.260381325560281,0.6954736208958733,0.14879654937030942,0.4004270471143151
Baked Balanced Snack,1692.0,83.98,208.16,55.66,37.33,215.75,1.70205,0.23148,0.48816992179399565,0.20195600579793255,0.7010120889725562,0.11788658972527694,0.18263786590178865
Boiled Paleo Breakfast,2768.0,122.92,305.8,82.09,15.65,390.55,0.0845699999999999,0.02985,0.7986136782067257,0.4500565457702171,0.7013031943402122,0.10305041994814758,0.832533426265917
Grilled Low-Carb Snack,1372.0,87.46,219.37,58.36,25.53,370.22,2.34119,0.0540799999999999,0.395844641076455,0.22412831907742786,0.6970476204967464,0.03659866112542262,0.4070337962385787
Baked Paleo Lunch,1688.0,82.8,208.82,55.86,7.31,208.07,1.43032,0.11017,0.4870158557850264,0.19443780761695412,0.697396731065151,0.12319725365540828,0.5990789945511539
Steamed Vegan Dinner,1576.0,82.01,204.42,54.55,0.28,217.49,0.33097,0.1294199999999999,0.45470200753388723,0.18940443764833315,0.6992434599832549,0.10617241822402897,0.7894448104524046
Boiled Low-Carb Breakfast,1231.0,124.84,312.49,83.15,26.3,457.51,1.2022,0.15934,0.5327457213904332,0.8599894872652554,0.6975436980281495,0.0430850371673143,0.4283250343091918
Steamed Vegan Snack,1920.0,101.94,256.16,68.39,10.49,446.8,0.11061,0.03686,0.8309275264578649,0.6411334639460983,0.697634359396839,0.09044203914569601,0.8590215466599682
Raw Balanced Breakfast,1951.0,75.78,188.06,50.59,6.06,320.69,0.62549,0.29363,0.8443435438121325,0.39112151765661585,0.7024186997443898,0.1431036991916444,0.529261295369509
Steamed Vegetarian Lunch,1807.0,122.86,308.94,82.31,48.61,254.27,1.4817,0.20727,0.5213493195518618,0.4496742645067775,0.6969117018752553,0.10342729672040667,0.19341556997568732
Roasted Vegetarian Dinner,2633.0,114.39,285.22,76.12,27.64,207.58,0.41025,0.00076,0.86050407439398,0.7601185071916661,0.6992062379884689,0.3376671022359296,0.7302243064450975
Boiled Vegan Breakfast,1346.0,99.43,247.43,66.25,25.22,386.82,0.30242,0.0605799999999999,0.388343212018155,0.30039343113362327,0.7005317251071376,0.03215254312142953,0.6903666382608408
Raw Vegan Breakfast,1620.0,79.67,197.25,52.71,44.27,467.87,1.6110799999999998,0.2201399999999999,0.4673967336325491,0.17449546837418967,0.7010901229361853,0.03181543689691962,0.1585538535288773
Baked Low-Carb Snack,1664.0,89.14,222.66,59.41,3.64,440.5,0.45187,0.12043,0.4800914597312108,0.23483219445373602,0.6987549424736905,0.03800610948262795,0.7574683787547661
Steamed Vegetarian Breakfast,1689.0,122.1,302.69,80.96,9.46,339.06,1.471,0.11325,0.48730437228726875,0.4448320351698761,0.7010619059387492,0.061664248226779336,0.5730761040950726
Baked Low-Carb Dinner,2403.0,109.4,276.43,73.46,10.22,401.23,0.6477999999999999,0.0509,0.693305154888281,0.3639158344084994,0.6951601291983971,0.08146621531621219,0.7650036752868414
Roasted Keto Snack,2041.0,97.05,240.27,64.21,45.83,178.35,0.3835,0.06822,0.8832932716148449,0.5943995794906101,0.7011163914913974,0.301101555790216,0.5261664726052011
Baked Low-Carb Breakfast,2220.0,78.38,194.99,51.54,24.87,223.84,1.83775,0.1543,0.4803799762334532,0.041429731925264016,0.697044064349855,0.1099462372893778,0.35223711601174035
Boiled Paleo Dinner,3011.0,112.18,284.57,75.28,48.61,151.66,1.46623,0.20801,0.6969152176225879,0.7389974673866297,0.693055804390657,0.5489983426244482,0.19476755054845718
Baked Balanced Lunch,3287.0,123.12,306.18,81.64,44.81,289.22,0.11538,0.1818499999999999,0.9483537428704869,0.45133081664834895,0.699526676035265,0.18711124156251188,0.42501452517737937
Roasted Balanced Snack,1909.0,111.76,283.55,74.73,38.01,431.25,1.93369,0.14786,0.41308350208543343,0.20093658909542697,0.6919853457316687,0.02901511395191667,0.24691018171547652
Roasted Low-Carb Snack,1440.0,121.29,302.12,80.75,15.47,415.57,0.08294,0.2311,0.4154637632289325,0.4396712381134419,0.6998333011661443,0.031866922048259055,0.5854076143133832
Fried Paleo Lunch,2115.0,90.86,226.58,60.19,48.11,305.51,2.19464,0.12362,0.6102124022424946,0.24579092400567046,0.6978979888384957,0.09981599459179522,0.19234383561081925
Boiled Vegan Dinner,1902.0,127.97,320.19,85.18,28.94,233.08,1.02862,0.04858,0.5487583872648816,0.482231885443048,0.6975734181098232,0.12413332455424059,0.5707078180515505
Baked Paleo Dinner,2334.0,78.21,196.91,51.68,12.15,442.17,2.2185,0.20091,0.6733975162335614,0.16519329096382657,0.6924958026133294,0.06750253864705899,0.334905526065959
Baked Balanced Snack,1328.0,99.57,251.34,66.64,11.16,261.22,2.27921,0.07246,0.287362436233345,0.14268648157882158,0.6947427468541574,0.03870083380831555,0.4928363905111439
Roasted Low-Carb Breakfast,2867.0,79.85,197.85,53.1,43.49,466.55,2.09199,0.25708,0.6203826089465361,0.04845415014096621,0.7021154363006191,0.05434238157552291,0.04734934033084226
Roasted Keto Dinner,2638.0,113.15,283.6,75.36,20.67,456.83,0.21665,0.12099,0.5708298996864187,0.2075787260476896,0.6968845657196561,0.04888130916529069,0.6626329170631211
Steamed Low-Carb Dinner,2440.0,125.15,314.61,83.93,17.31,122.61,0.2659499999999999,0.1489,0.7039802654712467,0.464264666061388,0.6973330800630247,0.35484431095145413,0.646289839076484
Boiled Vegetarian Dinner,2206.0,88.64,222.12,59.16,6.77,420.87,1.1758,0.24398,0.6364674039465452,0.2316465172584062,0.6975708960974917,0.06677564930843854,0.47507204753363697
Steamed Low-Carb Snack,2094.0,80.5,200.77,53.3,33.32,462.67,1.03588,0.2229,0.906230333543109,0.4362307067424857,0.6976969794801522,0.09718282485756252,0.3211262887958449
Fried Keto Snack,1281.0,69.71,174.44,46.5,42.34,472.09,1.36695,0.0848199999999999,0.5543844590586068,0.33311033592966016,0.6981055007719763,0.04375752851777781,0.3751563381702009
Baked Vegan Lunch,2071.0,114.08,284.52,76.54,34.31,364.78,1.20094,0.25346,0.4481382571078746,0.21202274573517463,0.7013511313328242,0.047448985248125686,0.25169781775692435
Roasted Balanced Lunch,1671.0,69.71,174.44,46.5,18.43,203.54,0.10491,0.05429,0.4821110752469071,0.11103677864322005,0.6981055007719763,0.1251041052910448,0.7783542791165586
Steamed Paleo Dinner,1252.0,71.33,178.08,47.78,15.43,376.28,2.29569,0.03117,0.3612226608073773,0.12135837275608864,0.7004037464791425,0.029158754536620094,0.5116206249731801
Fried Vegetarian Lunch,1637.0,112.28,280.91,75.28,12.63,292.22,2.21596,0.05675,0.7084522712560026,0.7399531705452286,0.6996163581477408,0.12890127906110124,0.5098195097144507
Roasted Vegan Lunch,2210.0,73.95,184.84,49.16,38.84,383.47,0.8629600000000001,0.03015,0.6376214699555144,0.1380513212596168,0.6977208858638203,0.07702656473013324,0.5429944532814355
Grilled Keto Breakfast,3333.0,96.32,241.12,64.31,40.46,283.24,2.37422,0.1510399999999999,0.9616255019736333,0.28057851897867175,0.6981748356874746,0.19501805957287138,0.17445406451119483
Boiled Keto Dinner,1803.0,97.66,246.03,65.39,27.28,306.8,1.45369,0.06861,0.39014644015716937,0.13355951641420175,0.6958389230924339,0.05038781704416507,0.49621078082570413
Roasted Vegetarian Dinner,1987.0,71.54,181.25,47.69,39.38,156.86,0.77895,0.00711,0.4299617174666087,0.008744683901180352,0.6918343622246093,0.15047049318556444,0.5797000347981585
Baked Balanced Dinner,1343.0,114.97,287.13,76.58,13.24,318.49,0.44175,0.20072,0.581216493767142,0.7656615855115401,0.6986777069384289,0.08807055880321239,0.587224442899842
Boiled Paleo Dinner,1574.0,125.01,311.41,83.71,13.87,336.91,1.96825,0.20549,0.4541249745294026,0.4633726764466956,0.7013957763716674,0.055581203742901014,0.3529208191543267
Grilled Balanced Lunch,1649.0,86.76,217.06,57.94,2.64,429.08,0.26317,0.19928,0.7136455682963643,0.49605772447077934,0.6985271255340466,0.07705597440314048,0.6952166049396543
Baked Paleo Breakfast,1132.0,71.03,177.43,47.33,9.56,241.87,2.04468,0.16755,0.3266006805382996,0.11944696643889074,0.6986785511095102,0.05574488538679484,0.42116071755141093
Baked Low-Carb Breakfast,1603.0,138.1,344.62,92.14,20.68,281.1,1.44165,0.17128,0.4624919530944297,0.5467737054204297,0.6995313442232801,0.0758363656872048,0.42092682591777386
Fried Keto Snack,2112.0,87.65,218.95,57.53,10.54,437.25,2.33817,0.0238299999999999,0.6093468527357676,0.22533887641165323,0.6945163620373033,0.058692363642835935,0.5576200533029847
Grilled Vegan Lunch,2339.0,101.72,254.49,67.79,8.91,315.86,1.72892,0.05964,0.6748400987447729,0.31498383268823366,0.6979501465852481,0.10929441548157598,0.6056974881335679
Steamed Vegan Lunch,1505.0,88.31,217.32,58.5,15.39,225.68,1.03826,0.2318899999999999,0.4342173358746829,0.22954397030948853,0.7044202349687708,0.09482227501275749,0.44506939788128197
Grilled Low-Carb Breakfast,1488.0,139.49,348.88,92.94,30.66,497.93,2.46492,0.24356,0.6439688330048453,1.0,0.6980356066142858,0.05186094657255506,0.1341159748399483
Grilled Keto Breakfast,1937.0,122.16,305.65,80.72,1.27,179.92,0.11957,0.16865,0.5588564648433626,0.4452143164333157,0.6955617387988622,0.17533703811220785,0.7644570948333504
Fried Low-Carb Dinner,1699.0,86.3,213.56,56.79,42.26,397.83,0.60273,0.26363,0.3676421529822689,0.079275577005782,0.6998519458839239,0.026715930931497052,0.26673755351728246
Raw Vegetarian Dinner,3114.0,80.39,195.87,52.4,37.66,117.66,1.39675,0.24217,0.8984403879825664,0.17908284353546455,0.7048873876050656,0.4838670566633264,0.21166423667911993
Baked Low-Carb Snack,2126.0,90.32,224.18,60.01,12.39,330.49,1.78056,0.28993,0.61338608376716,0.24235039263471428,0.7010223458454637,0.09018726600644854,0.3122270470312064
Raw Balanced Breakfast,1700.0,90.81,225.95,60.73,38.94,362.21,1.69679,0.20924,0.4904780538119341,0.2454723562861375,0.7016140657110876,0.056004475678931985,0.19873654807957775
Boiled Keto Dinner,1258.0,84.99,211.14,56.6,48.37,257.26,1.19429,0.14057,0.3629537598208312,0.20839107373249866,0.701221624004282,0.05986763003319491,0.317958849582192
